Macul,&,134635,4599,3415.9,142,105.5,207,153.7,206,153.0
Maipu ,& ,578605 ,13561 ,2343.7 ,315 ,54.4 ,691 ,119.4 ,689 ,119.1 
Maria Pinto ,& ,14926 ,318 ,2130.5 ,4 ,26.8 ,30 ,201.0 ,30 ,201.0 
Melipilla ,& ,141612 ,3524 ,2488.5 ,92 ,65.0 ,296 ,209.0 ,293 ,206.9 
Nunoa ,& ,250192 ,5167 ,2065.2 ,211 ,84.3 ,231 ,92.3 ,230 ,91.9 
Padre Hurtado ,& ,74188 ,1953 ,2632.5 ,47 ,63.4 ,129 ,173.9 ,128 ,172.5 
Paine ,& ,82766 ,1730 ,2090.2 ,34 ,41.1 ,176 ,212.6 ,175 ,211.4 
Pedro Aguirre Cerda ,& ,107803 ,4013 ,3722.5 ,177 ,164.2 ,178 ,165.1 ,178 ,165.1 
Penaflor ,& ,101058 ,2648 ,2620.3 ,89 ,88.1 ,236 ,233.5 ,235 ,232.5 
Penalolen ,& ,266798 ,11075 ,4151.1 ,270 ,101.2 ,442 ,165.7 ,440 ,164.9 
Pirque ,& ,30433 ,1029 ,3381.2 ,24 ,78.9 ,51 ,167.6 ,51 ,167.6 
Providencia ,& ,157749 ,2944 ,1866.3 ,129 ,81.8 ,148 ,93.8 ,147 ,93.2 
Pudahuel ,& ,253139 ,9158 ,3617.8 ,198 ,78.2 ,458 ,180.9 ,457 ,180.5 
Puente Alto ,& ,645909 ,21296 ,3297.1 ,481 ,74.5 ,868 ,134.4 ,865 ,133.9 
Quilicura ,& ,254694 ,8463 ,3322.8 ,123 ,48.3 ,295 ,115.8 ,295 ,115.8 
Quinta Normal ,& ,136368 ,5468 ,4009.7 ,152 ,111.5 ,282 ,206.8 ,280 ,205.3 
Recoleta ,& ,190075 ,8045 ,4232.5 ,281 ,147.8 ,256 ,134.7 ,253 ,133.1 
Renca ,& ,160847 ,7419 ,4612.5 ,195 ,121.2 ,361 ,224.4 ,361 ,224.4 
San Bernardo ,& ,334836 ,10310 ,3079.1 ,283 ,84.5 ,542 ,161.9 ,538 ,160.7 
San Joaquin ,& ,103485 ,4638 ,4481.8 ,142 ,137.2 ,278 ,268.6 ,276 ,266.7 
San Jose de Maipo ,,18644 ,575 ,3084.1 ,17 ,91.2 ,41 ,219.9 ,41 ,219.9 
San Miguel ,& ,133059 ,4879 ,3666.8 ,119 ,89.4 ,229 ,172.1 ,228 ,171.4 
San Pedro ,,11953 ,211 ,1765.2 ,3 ,25.1 ,13 ,108.8 ,13 ,108.8 
San Ramon ,& ,86510 ,4250 ,4912.7 ,136 ,157.2 ,215 ,248.5 ,215 ,248.5 
Santiago ,& ,503147 ,14041 ,2790.6 ,245 ,48.7 ,544 ,108.1 ,543 ,107.9 
Talagante ,& ,81838 ,1526 ,1864.7 ,54 ,66.0 ,102 ,124.6 ,102 ,124.6 
Tiltil ,,21477 ,523 ,2435.2 ,12 ,55.9 ,24 ,111.7 ,24 ,111.7 
Vitacura ,& ,96774 ,1407 ,1453.9 ,55 ,56.8 ,41 ,42.4 ,40 ,41.3 
Desconocido ,& ,- ,18313 ,- ,O ,- ,849 ,- ,849 ,- 
