PadreHurtado,&O1O,5,10,5,13,10,16,60,98,171,236,232,280,233,186,175,122,94,6O
Paine ,& O 1 0 ,2 ,O ,4 ,8 ,3 ,5 ,29 ,83 ,85 ,132 ,152 ,272 ,237 ,208 ,197 ,182 ,113 ,17 O 
Pedro Aguirre Cerda ,& O 0 3 ,6 ,15 ,25 ,47 ,32 ,73 ,179 ,366 ,430 ,395 ,510 ,574 ,428 ,342 ,232 ,218 ,123 ,15 O 
Penaflor ,& 1 2 5 ,3 ,9 ,6 ,10 ,15 ,28 ,58 ,109 ,210 ,309 ,315 ,344 ,348 ,330 ,207 ,148 ,181 ,10 O 
Penalolen ,& 1 2 9 ,30 ,36 ,42 ,53 ,71 ,121 ,404 ,977 ,1329 ,1644 ,1589 ,1432 ,1104 ,855 ,583 ,448 ,311 ,34 0 
Pirque ,& O 1 3 ,1 ,3 ,1 ,5 ,5 ,17 ,38 ,60 ,82 ,161 ,150 ,117 ,113 ,84 ,76 ,75 ,33 ,4 0 
Providencia ,& 0 3 28 ,64 ,22 ,24 ,35 ,43 ,40 ,96 ,284 ,318 ,393 ,429 ,294 ,233 ,206 ,174 ,145 ,101 ,12 O 
Pudahuel ,& 1 1 3 ,20 ,27 ,37 ,44 ,46 ,138 ,365 ,672 ,1016 ,1290 ,1268 ,1331 ,874 ,759 ,520 ,398 ,288 ,60 O 
Puente Alto ,& 2 4 12 ,65 ,104 ,185 ,208 ,333 ,383 ,864 ,1576 ,2213 ,2570 ,2597 ,2824 ,2384 ,1887 ,1442 ,1006 ,562 ,75 0 
Quilicura ,& 0 3 3 ,21 ,31 ,43 ,46 ,142 ,328 ,553 ,819 ,958 ,895 ,1038 ,1099 ,885 ,650 ,403 ,321 ,199 ,26 0 
Quinta Normal ,& 1 2 6 ,14 ,27 ,40 ,50 ,53 ,99 ,267 ,463 ,586 ,712 ,736 ,669 ,540 ,418 ,319 ,249 ,202 ,15 O 
Recoleta ,& O O 7 ,14 ,17 ,41 ,46 ,117 ,284 ,742 ,1183 ,1122 ,991 ,874 ,775 ,582 ,506 ,297 ,248 ,170 ,29 O 
Renca ,& O O 4 ,7 ,11 ,8 ,35 ,68 ,111 ,297 ,633 ,738 ,838 ,785 ,846 ,800 ,894 ,604 ,475 ,255 ,10 0 
San Bernardo ,& O 1 6 ,24 ,41 ,67 ,80 ,124 ,162 ,342 ,662 ,899 ,1070 ,1303 ,1428 ,1232 ,1070 ,817 ,567 ,377 ,38 0 
San Joaquin ,& O O 1 ,16 ,23 ,14 ,34 ,44 ,84 ,228 ,504 ,647 ,467 ,491 ,568 ,474 ,350 ,265 ,197 ,168 ,63 O 
San Jose de Maipo ,0 0 1 ,1 ,2 ,2 ,3 ,1 ,4 ,24 ,48 ,55 ,92 ,67 ,77 ,61 ,42 ,41 ,26 ,28 ,0 0 
San Miguel ,& 1 O 3 ,27 ,23 ,28 ,47 ,49 ,79 ,204 ,448 ,514 ,613 ,600 ,649 ,486 ,453 ,267 ,219 ,155 ,14 O 
San Pedro ,O O O ,O ,O ,O ,O ,2 ,10 ,7 ,9 ,16 ,16 ,21 ,28 ,10 ,32 ,29 ,19 ,12 ,O O 
San Ramon ,& 0 O 1 ,2 ,11 ,11 ,13 ,42 ,90 ,250 ,455 ,554 ,534 ,459 ,558 ,421 ,305 ,203 ,184 ,147 ,10 O 
Santiago ,& 1 3 29 ,99 ,106 ,149 ,168 ,176 ,389 ,954 ,1689 ,1677 ,1842 ,1613 ,1453 ,1184 ,970 ,622 ,497 ,378 ,42 0 
Talagante ,& O O O ,4 ,8 ,7 ,3 ,10 ,10 ,44 ,59 ,95 ,124 ,154 ,183 ,220 ,207 ,187 ,134 ,70 ,7 O 
Tiltil ,O O O ,2 ,1 ,2 ,1 ,6 ,5 ,11 ,34 ,43 ,58 ,62 ,92 ,61 ,50 ,44 ,36 ,13 ,2 O 
Vitacura ,& O 6 32 ,50 ,29 ,14 ,7 ,5 ,13 ,56 ,159 ,212 ,185 ,149 ,134 ,98 ,93 ,80 ,53 ,28 ,4 0 
Desconocido ,& 0 0 6 ,11 ,15 ,55 ,175 ,361 ,584 ,765 ,1602 ,2527 ,2778 ,2009 ,1665 ,1646 ,1671 ,1074 ,676 ,495 ,198 0 
Total ,16 69 350 ,1037 ,1131 ,1474 ,1924 ,2898 ,5339 ,12506 ,23533 ,30593 ,34137 ,33630 ,33964 ,27804 ,23227 ,16651 ,12595 ,8593 ,1332 0 
