Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Bulnes ,& ,22607 ,331 ,1464.1 ,5 ,22.1 ,49 ,216.7 ,49 ,216.7 
Chillan ,,198624 ,1578 ,794.5 ,15 ,7.6 ,263 ,132.4 ,262 ,131.9 
Chillan Viejo ,,33827 ,259 ,765.7 ,1 ,3.0 ,39 ,115.3 ,39 ,115.3 
Cobquecura ,,5275 ,1 ,19.0 ,0 ,0.0 ,1 ,19.0 ,1 ,19.0 
Coelemu ,,16845 ,73 ,433.4 ,2 ,11.9 ,10 ,59.4 ,9 ,53.4 
Coihueco ,,28375 ,170 ,599.1 ,4 ,14.1 ,58 ,204.4 ,58 ,204.4 
EI Carmen ,& ,12334 ,90 ,729.7 ,2 ,16.2 ,18 ,145.9 ,18 ,145.9 
Ninhue ,,5414 ,41 ,757.3 ,3 ,55.4 ,1 ,18.5 ,1 ,18.5 
Niquen ,,11567 ,75 ,648.4 ,2 ,17.3 ,5 ,43.2 ,5 ,43.2 
Pemuco ,,8639 ,98 ,1134.4 ,2 ,23.2 ,12 ,138.9 ,11 ,127.3 
Pinto ,,11880 ,56 ,471.4 ,0 ,0.0 ,17 ,143.1 ,17 ,143.1 
Portezuelo ,,4940 ,19 ,384.6 ,0 ,0.0 ,7 ,141.7 ,7 ,141.7 
Quillon ,,18777 ,170 ,905.4 ,4 ,21.3 ,34 ,181.1 ,34 ,181.1 
Quirihue ,,12192 ,58 ,475.7 ,1 ,8.2 ,17 ,139.4 ,17 ,139.4 
Ranquil ,,6261 ,40 ,638.9 ,0 ,0.0 ,12 ,191.7 ,12 ,191.7 
San Carlos ,& ,56252 ,457 ,812.4 ,4 ,7.1 ,67 ,119.1 ,67 ,119.1 
San Fabian ,,4654 ,11 ,236.4 ,0 ,0.0 ,2 ,43.0 ,2 ,43.0 
San Ignacio ,,16624 ,167 ,1004.6 ,3 ,18.0 ,25 ,150.4 ,25 ,150.4 
San Nicolas ,,12172 ,109 ,895.5 ,2 ,16.4 ,36 ,295.8 ,36 ,295.8 
Treguaco ,,5696 ,5 ,87.8 ,1 ,17.6 ,1 ,17.6 ,1 ,17.6 
Yungay ,,18596 ,113 ,607.7 ,O ,0.0 ,14 ,75.3 ,14 ,75.3 
Desconocido ,& ,- ,3 ,- ,0 ,- ,3 ,- ,3 ,- 
Total ,,511551 ,3924 ,767.1 ,51 ,10.0 ,691 ,135.1 ,688 ,134.5 
