Comuna,SESESESE,SESE,SE,SESESE,SESE,SE,SE,SE,SESESE,SE,SE,SESE
,9 10 11 12 ,13 14 ,15 ,16 17 18 ,19 20 ,21 ,22 ,23 ,24 25 26 ,27 ,28 ,29 30 
Bulnes & ,O O O 9 ,27 10 ,7 ,8 8 9 ,24 44 ,26 ,19 ,19 ,16 19 14 ,29 ,38 ,5 O 
Chillan ,O 1 28 120 ,117 75 ,33 ,25 17 16 ,20 67 ,59 ,68 ,114 ,124 174 140 ,169 ,171 ,40 O 
Chillan Viejo ,O O 5 7 ,19 7 ,14 ,3 1 O ,4 15 ,22 ,12 ,27 ,21 25 20 ,26 ,28 ,3 O 
Cobquecura ,O O O O ,O O ,O ,O O O ,O O ,O ,O ,O ,O O O ,O ,1 ,O O 
Coelemu ,O O O O ,2 2 ,O ,O O O ,O 2 ,6 ,11 ,8 ,9 18 4 ,1 ,9 ,1 O 
Coihueco ,O O O 2 ,3 4 ,6 ,12 12 3 ,1 8 ,1 ,1 ,5 ,11 17 11 ,30 ,38 ,5 0 
EI Carmen & ,O O O 2 ,O 1 ,O ,O O O ,1 3 ,8 ,15 ,4 ,16 10 7 ,7 ,16 ,O O 
Ninhue ,O O O O ,O 2 ,O ,2 O O ,O 1 ,3 ,2 ,2 ,7 7 11 ,4 ,O ,O O 
Niquen ,O O O 1 ,O 1 ,2 ,O O 1 ,O 5 ,3 ,11 ,17 ,18 5 5 ,1 ,4 ,1 O 
Pemuco ,O 0 O 1 ,O 4 ,1 ,O O O ,3 1 ,2 ,5 ,5 ,20 32 4 ,9 ,10 ,1 O 
Pinto ,O O O 2 ,3 5 ,1 ,1 O O ,O 3 ,O ,2 ,O ,3 8 9 ,4 ,14 ,1 O 
Portezuelo ,O O O O ,O O ,O ,O O O ,1 4 ,2 ,O ,O ,O 4 O ,1 ,5 ,2 O 
Quillon ,O O O 8 ,8 8 ,1 ,O 2 2 ,2 9 ,6 ,13 ,24 ,20 15 7 ,15 ,29 ,1 O 
Quirihue ,0 0 O O ,1 2 ,O ,1 0 1 ,7 4 ,1 ,4 ,1 ,1 8 9 ,5 ,13 ,0 O 
Ranquil ,O O O 1 ,3 6 ,O ,O O O ,1 O ,O ,O ,1 ,4 8 2 ,2 ,9 ,3 O 
San Carlos & ,O O 2 5 ,11 9 ,3 ,3 3 3 ,7 7 ,13 ,28 ,60 ,92 55 44 ,63 ,40 ,9 O 
San Fabian ,0 0 O 3 ,3 1 ,0 ,1 0 O ,0 O ,1 ,O ,O ,O O 0 ,O ,2 ,O O 
San Ignacio ,O 0 O 2 ,3 1 ,O ,1 3 3 ,1 2 ,6 ,8 ,10 ,53 39 5 ,7 ,20 ,3 O 
San Nicolas ,O O O 2 ,6 5 ,4 ,O 0 O ,2 3 ,9 ,8 ,10 ,5 3 10 ,15 ,23 ,4 O 
Treguaco ,O O O O ,O O ,0 ,O O O ,O 1 ,O ,O ,1 ,O 1 1 ,O ,1 ,O O 
Yungay ,O O O 3 ,16 21 ,3 ,4 6 2 ,2 2 ,O ,6 ,2 ,5 11 13 ,3 ,13 ,1 O 
Desconocido & ,0 0 O O ,O O ,O ,O O 0 ,O O ,O ,O ,O ,O O O ,O ,2 ,1 0 
Total ,0 1 35 168 ,222 164 ,75 ,61 52 40 ,76 181 ,168 ,213 ,310 ,425 459 316 ,391 ,486 ,81 0 
