,SE,SESE,SE,SE,SE,SESE,SE,SE,SE,SE,SE,SESE,SE,SESESESESE,SE
Comuna ,9 ,10 11 ,12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 ,21 ,22 23 ,24 ,25 26 27 28 29 ,30 
Corral ,O ,O O ,O ,O ,O ,O 1 ,O ,O ,6 ,4 ,2 ,2 5 ,2 ,1 1 2 O O ,O 
Futrono ,O ,O O ,1 ,3 ,1 ,O O ,O ,O ,1 ,5 ,19 ,8 15 ,5 ,1 1 1 O O ,O 
La Union ,O ,O 1 ,5 ,8 ,4 ,6 9 ,4 ,2 ,1 ,2 ,2 ,6 9 ,9 ,8 6 5 4 4 ,O 
Lago Ranco ,O ,O O ,1 ,1 ,O ,O O ,O ,O ,O ,O ,O ,O O ,O ,1 4 O O O ,O 
Lanco ,O ,0 O ,0 ,1 ,2 ,1 2 ,O ,3 ,O ,O ,O ,1 3 ,10 ,3 1 O 1 O ,O 
Los Lagos ,O ,O O ,O ,O ,O ,O O ,O ,O ,O ,1 ,12 ,11 13 ,22 ,3 O 1 O O ,O 
Mafil ,O ,O O ,1 ,O ,O ,O 1 ,O ,O ,O ,1 ,2 ,O 2 ,12 ,1 O O O O ,O 
Mariquina ,O ,O O ,3 ,1 ,4 ,1 O ,O ,O ,2 ,1 ,3 ,1 O ,3 ,O 1 O 7 4 ,O 
Paillaco ,O ,O O ,1 ,O ,O ,O O ,O ,O ,O ,8 ,13 ,3 O ,2 ,3 O 2 1 O ,O 
Panguipull ,O ,O O ,O ,O ,O ,O 1 ,O ,1 ,O ,4 ,4 ,8 16 ,7 ,8 6 1 8 1 ,O 
Rio Bueno ,O ,O O ,3 ,1 ,3 ,2 1 ,2 ,1 ,O ,O ,3 ,1 1 ,1 ,3 3 3 1 O ,O 
Valdivia & ,O ,1 1 ,25 ,32 ,25 ,18 8 ,8 ,4 ,2 ,10 ,30 ,24 15 ,26 ,38 34 29 32 19 ,O 
Desconocido & ,O ,O 1 ,O ,O ,O ,1 1 ,O ,O ,O ,O ,O ,1 O ,1 ,1 O O O O ,O 
Total ,0 ,3 ,40 ,47 ,39 ,29 24 ,14 ,11 ,,36 ,90 ,66 79 ,100 ,71 57 54 28 ,0 
