Desconocido,&-,61,,,-,0,,-,17,,-
Total ,891440 ,2776 ,,,311.4 ,28 ,,3.1 ,619 ,,69.4 
,,,,,,,,,,,
Comuna ,SE SE SE SE ,SE ,SE SE ,SE SE ,SE SE SE ,SE ,SE ,SE SE ,SE SE ,SE ,SE SE SE 
,9 10 11 12 ,13 ,14 15 ,16 17 ,18 19 20 ,21 ,22 ,23 24 ,25 26 ,27 ,28 29 30 
Ancud ,& O O O O ,1 ,O 6 ,3 1 ,21 19 23 ,10 ,2 ,4 3 ,1 5 ,O ,2 2 0 
Calbuco ,& O O O 3 ,1 ,1 1 ,1 O ,O 1 O ,O ,1 ,O 2 ,19 43 ,30 ,38 3 O 
Castro ,& O O 0 2 ,O ,5 O ,0 O ,O 1 O ,O ,O ,O 1 ,O O ,O ,O O 0 
Chaiten ,O O O O ,1 ,O O ,0 0 ,0 0 O ,O ,O ,O 0 ,O O ,1 ,8 2 O 
Chonchi ,O O O O ,O ,O O ,O O ,0 0 O ,O ,O ,O 0 ,O 1 ,O ,O O O 
Cochamo ,O O O O ,O ,O 1 ,O O ,O O O ,O ,O ,O O ,1 6 ,O ,O 2 O 
Curaco de Velez ,O O O O ,O ,O O ,O O ,0 0 0 ,O ,O ,0 1 ,O 12 ,2 ,3 O O 
Dalcahue ,O 0O O 0 ,O ,O O ,O 0 ,0 1 3 ,2 ,O ,O 1 ,O O ,O ,O O O 
Fresia ,O 0 O O ,O ,O O ,O O ,O O O ,O ,O ,O 4 ,1 6 ,9 ,O O O 
Frutillar ,O O O O ,1 ,3 2 ,O O ,O 1 O ,3 ,2 ,3 7 ,20 26 ,53 ,18 1 O 
Futaleufu ,0 0 O 0 ,O ,O O ,0 0 ,0 0 1 ,O ,O ,0 0 ,O 0 ,0 ,0 0 O 
Hualaihue ,O O O O ,3 ,O O ,O O ,O O O ,O ,1 ,1 1 ,3 1 ,2 ,O O O 
Llanquihue ,& O O O O ,1 ,O O ,O O ,O 5 O ,O ,3 ,3 11 ,18 7 ,16 ,4 1 O 
Los Muermos ,O 0 O 1 ,O ,O O ,O O ,0 1 O ,O ,O ,1 1 ,13 7 ,12 ,4 O O 
Maullin ,O 0 O O ,O ,O 1 ,O 0 ,0 0 5 ,9 ,O ,O O ,2 3 ,10 ,13 4 O 
