Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,35 ,140.0 ,0 ,0.0 ,21 ,84.0 ,21 ,84.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Coyhaique ,61210 ,30 ,49.0 ,O ,0.0 ,2 ,3.3 ,2 ,3.3 
Guaitecas ,1599 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Torte ,572 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,107297 ,67 ,62.4 ,0 ,0.0 ,23 ,21.4 ,23 ,21.4 
