Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Natales ,23782 ,51 ,214.4 ,O ,0.0 ,3 ,12.6 ,3 ,12.6 
Porvenir ,7323 ,10 ,136.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Punta Arenas & ,141984 ,1463 ,1030.4 ,28 ,19.7 ,104 ,73.2 ,103 ,72.5 
Rio Verde ,211 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido & ,- ,70 ,- ,O ,- ,2 ,- ,2 ,- 
Total ,178362 ,1619 ,907.7 ,28 ,15.7 ,109 ,61.1 ,108 ,60.6 
