ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,3169 ,1257.0 ,848 ,336.4 
Region de Tarapaca ,382773 ,7577 ,1979.5 ,657 ,171.6 
Region de Antofagasta ,691854 ,13385 ,1934.7 ,1778 ,257.0 
Region de Atacama ,314709 ,1796 ,570.7 ,408 ,129.6 
Region de Coquimbo ,836096 ,5137 ,614.4 ,922 ,110.3 
Region de Valparaiso ,1960170 ,20189 ,1030.0 ,2451 ,125.0 
Region Metropolitana de Santiago ,8125072 ,272804 ,3357.6 ,12939 ,159.2 
Region del Libertador General Bernardo OHiggins ,991063 ,11001 ,1110.0 ,1803 ,181.9 
Region del Maule ,1131939 ,8315 ,734.6 ,1202 ,106.2 
Region del Nuble ,511551 ,3924 ,767.1 ,688 ,134.5 
Region del Biobio ,1663696 ,10206 ,613.5 ,1528 ,91.8 
Region de la Araucania ,1014343 ,3713 ,366.0 ,230 ,22.7 
Region de LOs Rios ,405835 ,845 ,208.2 ,95 ,23.4 
Region de Los Lagos ,891440 ,2776 ,311.4 ,618 ,69.3 
Region de Aysen del General Carlos ibanez del Campo ,107297 ,67 ,62.4 ,23 ,21.4 
Region de Magallanes y la Antartica Chilena ,178362 ,1619 ,907.7 ,108 ,60.6 
Desconocido ,- ,72 ,- ,0 ,- 
Total pais ,19458310 ,366595 ,1884.0 ,26298 ,135.2 
