Region,Totaldefunciones,Tasaobservada,Tasaajustada
Pais ,3932 ,202 ,12.7 
XV Arica y Parinacota ,33 ,13.1 ,8.8 
I Tarapaca ,34 ,8.9 ,7.6 
II Antofagasta ,129 ,18.6 ,17.2 
III Atacama ,25 ,7.9 ,5.4 
IV Coquimbo ,53 ,6.3 ,3.6 
V Valparaiso ,367 ,18.7 ,10.1 
Region Metropolitana ,2367 ,29.1 ,19.9 
VI O'Higgins ,132 ,13.3 ,8.1 
VII Maule ,206 ,18.2 ,10.6 
XVI De Nuble ,47 ,9.2 ,4.4 
VIII De Biobio ,187 ,11.2 ,6.7 
IX Araucania ,149 ,14.7 ,8.3 
XIV Los Rios ,47 ,11.6 ,6.0 
X Los Lagos ,103 ,11.6 ,7.4 
XI Aysen ,4 ,3.7 ,2.4 
XII Magallanes y la Antartica ,48 ,26.9 ,16.0 
Ignorada ,1 ,0.0 ,0.0 
