,,,,,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas.,Notificacion,oToma,deMuestra,,,,,
,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero ,Tasa de ,Numero de ,Tasa de Incidencia ,Numero ,Tasa de Incidencia ,SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE ,SE SE SE ,SE ,SE 
Comuna ,,Confirmados ,acumulada ,de Fallecidos ,Mortalidad ,Casos Actuales ,Actual ,de Casos Activos ,Activos ,9 10 11 ,12 13 ,14 ,15 16 ,17 ,18 ,19 ,20 21 ,22 ,23 ,24 25 26 ,27 ,28 
Alhue& ,7405 ,122 ,1647.5 ,2 ,27.0 ,36 ,486.2 ,36 ,486.2 ,0 0 0 ,0 0 ,1 ,O 0 ,0 ,0 ,4 ,1 4 ,9 ,15 ,25 15 19 ,25 ,4 
Buin& ,109641 ,1998 ,1822.3 ,58 ,52.9 ,195 ,177.9 ,195 ,177.9 ,0 0 0 ,5 17 ,10 ,14 19 ,19 ,62 ,136 ,188 230 ,217 ,282 ,268 204 165 ,137 ,25 
Calera de Tango& ,28525 ,490 ,1717.8 ,6 ,21.0 ,53 ,185.8 ,53 ,185.8 ,0 0 0 ,4 4 ,1 ,1 5 ,1 ,8 ,19 ,32 36 ,69 ,70 ,75 55 76 ,29 ,5 
Cerrillos8 ,88956 ,2706 ,3042.0 ,58 ,65.2 ,208 ,233.8 ,208 ,233.8 ,1 3 1 ,4 11 ,13 ,21 21 ,67 ,227 ,205 ,276 316 ,275 ,348 ,339 239 177 ,138 ,24 
Cerro Navia& ,142465 ,5759 ,4042.4 ,208 ,146.0 ,306 ,214.8 ,304 ,213.4 ,0 2 10 ,16 15 ,14 ,37 50 ,108 ,269 ,572 ,695 723 ,755 ,759 ,641 544 316 ,202 ,31 
Colina& ,180353 ,4204 ,2331.0 ,89 ,49.3 ,248 ,137.5 ,247 ,137.0 ,1 3 7 ,28 15 ,26 ,17 24 ,36 ,134 ,371 ,538 609 ,613 ,606 ,419 337 245 ,144 ,31 
Conchali& ,139195 ,5587 ,4013.8 ,182 ,130.8 ,342 ,245.7 ,340 ,244.3 ,0 2 2 ,17 14 ,19 ,40 74 ,133 ,381 ,633 ,713 665 ,646 ,650 ,559 460 322 ,227 ,30 
Curacavi& ,36430 ,774 ,2124.6 ,13 ,35.7 ,73 ,200.4 ,73 ,200.4 ,0 0 1 ,3 5 ,5 ,4 1 ,4 ,18 ,40 ,72 95 ,139 ,106 ,102 69 56 ,39 ,15 
EI Bosque ,172000 ,5700 ,3314.0 ,164 ,95.3 ,489 ,284.3 ,488 ,283.7 ,0 0 1 ,14 23 ,35 ,52 46 ,89 ,223 ,404 ,552 548 ,744 ,853 ,714 568 473 ,314 ,47 
EI Monte& ,40014 ,989 ,2471.6 ,35 ,87.5 ,120 ,299.9 ,117 ,292.4 ,0 0 1 ,1 1 ,7 ,4 3 ,7 ,16 ,40 ,74 142 ,101 ,127 ,127 151 100 ,82 ,5 
Estacion Central& ,206792 ,5648 ,2731.2 ,117 ,56.6 ,290 ,140.2 ,290 ,140.2 ,0 2 3 ,11 28 ,34 ,40 82 ,170 ,379 ,568 ,672 676 ,741 ,698 ,565 441 316 ,195 ,27 
Huechuraba ,112528 ,3387 ,3009.9 ,120 ,106.6 ,167 ,148.4 ,165 ,146.6 ,1 0 5 ,21 10 ,19 ,21 34 ,57 ,201 ,373 ,500 451 ,420 ,392 ,285 304 167 ,116 ,10 
Independencia ,142065 ,5934 ,4177.0 ,199 ,140.1 ,232 ,163.3 ,230 ,161.9 ,0 0 4 ,16 10 ,26 ,50 146 ,309 ,570 ,787 ,774 767 ,730 ,571 ,444 328 209 ,170 ,23 
Isla de Maipo& ,40171 ,651 ,1620.6 ,15 ,37.3 ,84 ,209.1 ,83 ,206.6 ,0 0 0 ,2 1 ,6 ,2 0 ,4 ,13 ,25 ,37 70 ,89 ,98 ,81 77 78 ,53 ,15 
La Cisterna& ,100434 ,2888 ,2875.5 ,99 ,98.6 ,184 ,183.2 ,184 ,183.2 ,0 0 3 ,10 13 ,20 ,18 28 ,64 ,121 ,241 ,328 306 ,425 ,413 ,313 281 178 ,105 ,21 
La Florida ,402433 ,12342 ,3066.8 ,366 ,90.9 ,699 ,173.7 ,697 ,173.2 ,1 2 12 ,31 59 ,64 ,79 106 ,208 ,595 ,1031 ,1543 1722 ,1629 ,1681 ,1183 1078 819 ,435 ,64 
La Granja ,122557 ,6433 ,5249.0 ,168 ,137.1 ,397 ,323.9 ,396 ,323.1 ,0 0 1 ,6 16 ,35 ,22 21 ,74 ,270 ,614 ,918 1024 ,804 ,816 ,637 521 341 ,279 ,34 
La Pintana8 ,189335 ,8807 ,4651.5 ,255 ,134.7 ,452 ,238.7 ,450 ,237.7 ,1 1 3 ,10 21 ,35 ,50 94 ,156 ,341 ,724 ,897 1266 ,1363 ,1369 ,933 702 502 ,299 ,40 
La Reina& ,100252 ,2003 ,1998.0 ,67 ,66.8 ,159 ,158.6 ,158 ,157.6 ,0 0 12 ,16 12 ,18 ,8 13 ,41 ,75 ,125 ,221 306 ,253 ,240 ,222 183 129 ,105 ,24 
Lampa& ,126898 ,3100 ,2442.9 ,47 ,37.0 ,225 ,177.3 ,225 ,177.3 ,0 0 0 ,9 13 ,15 ,14 18 ,52 ,138 ,294 ,348 398 ,380 ,439 ,368 251 187 ,136 ,40 
Las Condes& ,330759 ,5255 ,1588.8 ,243 ,73.5 ,286 ,86.5 ,285 ,86.2 ,1 18 60 ,128 69 ,42 ,37 34 ,75 ,245 ,498 ,695 750 ,682 ,570 ,494 368 273 ,182 ,33 
Lo Barnechea ,124076 ,2847 ,2294.6 ,58 ,46.7 ,109 ,87.8 ,106 ,85.4 ,0 2 14 ,55 30 ,23 ,37 40 ,66 ,153 ,266 ,400 413 ,362 ,369 ,304 130 102 ,64 ,17 
