Peralillo,11848,48,405.1,1,8.4,4,33.8,4,33.8,0OOOO0O0OO027712,11,15,3,0
Peumo ,14952 ,29 ,194.0 ,3 ,20.1 ,5 ,33.4 ,5 ,33.4 ,O O 0 O 1 0 O 0 O 2 3 2 2 2 1 ,1 ,6 5 ,2 ,2 
Pichidegua8 ,20743 ,101 ,486.9 ,3 ,14.5 ,32 ,154.3 ,32 ,154.3 ,O O 0 O 0 0 O 0 0 1 3 8 3 2 5 ,9 ,16 25 ,25 ,4 
Pichilemu ,17882 ,45 ,251.6 ,0 ,0.0 ,8 ,44.7 ,8 ,44.7 ,O O 0 O 0 0 O O 0 2 2 4 7 4 2 ,6 ,6 4 ,O ,8 
Placilla ,9164 ,50 ,545.6 ,0 ,0.0 ,14 ,152.8 ,14 ,152.8 ,0 O 0 O 1 0 O O 0 0 1 4 3 6 10 ,3 ,2 7 ,11 ,2 
Pumanque ,3531 ,4 ,113.3 ,0 ,00 ,0 ,0.0 ,0 ,0.0 ,O O 0 0 0 0 0 0 0 0 0 0 0 2 0 ,1 ,1 0 ,0 ,0 
Quinta de Tilcoco& ,13877 ,71 ,511.6 ,1 ,7.2 ,16 ,115.3 ,16 ,115.3 ,0 0 0 1 0 O 0 0 0 O 0 1 1 4 2 ,10 ,18 20 ,12 ,2 
Rancagua ,265211 ,4698 ,1771.4 ,55 ,20.7 ,951 ,358.6 ,946 ,356.7 ,0 O 0 9 4 7 4 8 13 27 88 177 222 281 428 ,658 ,1107 922 ,635 ,108 
Rengo8 ,63710 ,688 ,1079.9 ,3 ,4.7 ,235 ,368.9 ,235 ,368.9 ,O O 0 1 2 0 0 4 5 3 8 19 30 25 47 ,74 ,123 151 ,120 ,76 
Requinoa8 ,30371 ,296 ,974.6 ,3 ,9.9 ,68 ,223.9 ,67 ,220.6 ,0 O 0 2 0 0 O O 2 1 5 5 13 20 16 ,42 ,72 60 ,47 ,11 
San Fernando& ,78642 ,294 ,373.8 ,5 ,6.4 ,80 ,101.7 ,80 ,101.7 ,O O 0 2 1 1 0 2 0 2 8 9 23 16 22 ,28 ,56 60 ,47 ,17 
San Vicente ,50617 ,278 ,549.2 ,6 ,11.9 ,53 ,104.7 ,53 ,104.7 ,0 O 0 0 3 1 0 O 3 3 16 25 16 12 22 ,37 ,49 48 ,37 ,6 
Santa Cruz ,41096 ,127 ,309.0 ,3 ,7.3 ,36 ,87.6 ,36 ,87.6 ,O O 0 0 1 0 O 1 1 0 5 4 9 7 18 ,21 ,14 20 ,16 ,10 
Desconocido& ,- ,86 ,- ,0 ,- ,25 ,- ,25 ,- ,0 0 0 O O 0 2 0 0 0 1 2 12 0 8 ,4 ,22 12 ,9 ,14 
Total ,991063 ,9745 ,983.3 ,129 ,13.0 ,2166 ,218.6 ,2159 ,217.8 ,1 0 1 22 16 11 14 20 48 67 224 399 496 547 836 ,1294 ,2085 1939 ,1377 ,348 
