,,,,,,,,,NumerodeCasos,segunFechadeInicio,de,Sintomas.,NotificacionO,TomadeMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE 17 18 ,SE SE SE 19 20 21 22 ,SE SE 23 24 ,SE SE 25 26 ,SE SE 27 28 
Bulnes& ,22607 ,294 ,1300.5 ,5 ,22.1 ,37 ,163.7 ,37 ,163.7 ,O 0 O 9 ,27 10 ,7 8 ,8 9 24 ,44 26 19 ,19 16 ,19 13 ,27 9 
Chillan8 ,198624 ,1420 ,714.9 ,13 ,6.5 ,262 ,131.9 ,262 ,131.9 ,O 1 28 119 ,117 75 ,33 25 ,17 16 ,20 66 59 68 ,114 124 ,174 140 ,159 65 
Chillan Viejo ,33827 ,232 ,685.8 ,1 ,3.0 ,38 ,112.3 ,38 ,112.3 ,0 0 5 7 ,19 7 ,14 3 ,1 O 4 ,15 22 12 ,27 21 ,25 19 ,25 6 
Cobquecura ,5275 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 ,O 0 ,O 0 ,O O O ,O 0 O ,O 0 ,O 0 ,0 O 
Coelemu ,16845 ,66 ,391.8 ,1 ,5.9 ,4 ,23.7 ,4 ,23.7 ,O O 0 0 ,2 2 ,O O ,O 0 0 ,2 6 11 ,8 9 ,18 4 ,1 3 
Coihueco ,28375 ,139 ,489.9 ,4 ,14.1 ,45 ,158.6 ,45 ,158.6 ,O O 0 2 ,3 4 ,6 12 ,12 3 1 ,8 1 1 ,5 11 ,17 11 ,28 14 
EI Carmen ,12334 ,83 ,672.9 ,2 ,16.2 ,18 ,145.9 ,18 ,145.9 ,O 0 0 2 ,O 1 ,O O ,O O 1 ,3 7 15 ,4 16 ,10 7 ,9 8 
Ninhue ,5414 ,41 ,757.3 ,3 ,55.4 ,4 ,73.9 ,4 ,73.9 ,O 0 0 0 ,O 2 ,O 2 ,O O 0 ,1 3 2 ,2 7 ,7 11 ,4 O 
Niquen ,11567 ,69 ,596.5 ,2 ,17.3 ,2 ,17.3 ,2 ,17.3 ,O 0 0 1 ,0 1 ,2 O ,0 1 0 ,5 3 11 ,17 18 ,4 5 ,0 1 
Pemuco ,8639 ,90 ,1041.8 ,1 ,11.6 ,14 ,162.1 ,13 ,150.5 ,0 0 0 1 ,O 4 ,1 0 ,0 O 3 ,1 2 5 ,5 20 ,32 4 ,9 3 
Pinto ,11880 ,45 ,378.8 ,0 ,0.0 ,12 ,101.0 ,12 ,101.0 ,0 0 0 2 ,3 5 ,1 1 ,0 0 0 ,3 0 2 ,0 3 ,8 9 ,3 5 
Portezuelo ,4940 ,15 ,303.6 ,O ,0.0 ,4 ,81.0 ,4 ,81.0 ,O 0 0 O ,O 0 ,O O ,O O 1 ,4 2 O ,O O ,4 0 ,1 3 
Quillon ,18777 ,141 ,750.9 ,3 ,16.0 ,18 ,95.9 ,18 ,95.9 ,0 0 0 8 ,8 8 ,1 0 ,2 2 2 ,9 6 13 ,24 20 ,15 7 ,14 2 
Quirihue ,12192 ,44 ,360.9 ,1 ,8.2 ,4 ,32.8 ,4 ,32.8 ,O 0 0 0 ,1 2 ,O 1 ,0 1 7 ,4 1 4 ,1 1 ,8 9 ,4 O 
Ranquil ,6261 ,27 ,431.2 ,0 ,0.0 ,2 ,31.9 ,2 ,31.9 ,O 0 0 1 ,3 6 ,O 0 ,O O ,1 O 0 0 ,1 4 ,8 2 ,1 0 
San Carlos& ,56252 ,414 ,736.0 ,4 ,7.1 ,88 ,156.4 ,88 ,156.4 ,0 0 2 5 ,11 9 ,3 3 ,3 3 7 ,7 13 28 ,60 92 ,54 42 ,57 15 
San Fabian ,4654 ,10 ,214.9 ,0 ,0.0 ,1 ,21.5 ,1 ,21.5 ,0 0 0 3 ,3 1 ,O 1 ,0 O 0 ,0 1 0 ,0 0 ,0 0 ,0 1 
San Ignacio& ,16624 ,144 ,866.2 ,3 ,18.0 ,8 ,48.1 ,8 ,48.1 ,0 0 0 2 ,3 1 ,0 1 ,3 3 1 ,2 6 8 ,10 53 ,39 4 ,5 3 
San Nicolas& ,12172 ,83 ,681.9 ,2 ,16.4 ,18 ,147.9 ,18 ,147.9 ,0 0 0 2 ,6 5 ,4 0 ,0 0 2 ,3 9 8 ,10 5 ,3 10 ,7 9 
Treguaco ,5696 ,4 ,70.2 ,1 ,17.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,O 0 ,0 O 0 ,1 0 0 ,1 0 ,1 1 ,0 O 
Yungay ,18596 ,102 ,548.5 ,0 ,0.0 ,9 ,48.4 ,9 ,48.4 ,0 0 0 3 ,16 21 ,3 4 ,6 2 2 ,2 0 6 ,2 5 ,11 13 ,2 4 
