,,,,,,,,,NumerodeCasos,segunFechadeInicio,de,Sintomas.Notificacion,o,TomadeMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE 17 ,SE SE SE 18 19 20 ,SE 21 ,SE SE SE 22 23 24 ,SE SE SE 25 26 27 
Angol ,56058 ,408 ,727.8 ,9 ,16.1 ,56 ,99.9 ,55 ,98.1 ,0 1 1 3 ,10 11 ,15 35 ,27 ,12 11 7 ,24 ,19 57 59 ,41 27 40 
Carahue& ,25486 ,84 ,329.6 ,O ,0.0 ,5 ,19.6 ,5 ,19.6 ,0 0 0 0 ,3 10 ,9 8 ,5 ,1 0 2 ,14 ,11 5 5 ,5 2 2 
Cholchol ,12341 ,26 ,210.7 ,0 ,0.0 ,2 ,16.2 ,2 ,16.2 ,0 0 0 1 ,2 0 ,0 1 ,0 ,0 1 0 ,1 ,12 5 1 ,0 0 2 
Collipulli ,26148 ,67 ,256.2 ,3 ,11.5 ,5 ,19.1 ,5 ,19.1 ,0 0 0 0 ,0 1 ,1 1 ,3 ,0 2 9 ,9 ,6 8 9 ,6 9 3 
Cunco ,18055 ,62 ,343.4 ,2 ,11.1 ,6 ,33.2 ,6 ,33.2 ,0 O 0 0 ,3 2 ,0 1 ,0 ,O 1 5 ,18 ,0 11 8 ,3 5 2 
Curacautin ,18178 ,25 ,137.5 ,1 ,5.5 ,2 ,11.0 ,2 ,11.0 ,0 0 0 2 ,O 2 ,O O ,2 ,O 1 O ,1 ,2 4 9 ,0 1 1 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,2 0 ,0 O ,0 ,O 0 0 ,0 ,0 0 0 ,0 0 0 
Ercilla ,8458 ,20 ,236.5 ,0 ,0.0 ,1 ,11.8 ,1 ,11.8 ,0 0 0 0 ,0 4 ,1 4 ,1 ,1 0 0 ,4 ,1 1 2 ,0 0 1 
Freire& ,25446 ,112 ,440.1 ,1 ,3.9 ,3 ,11.8 ,3 ,11.8 ,0 0 0 2 ,4 0 ,0 2 ,0 ,1 12 11 ,28 ,16 18 6 ,9 2 1 
Galvarino ,12633 ,133 ,1052.8 ,0 ,0.0 ,15 ,118.7 ,15 ,118.7 ,0 0 O O ,0 2 ,0 O ,0 ,1 0 0 ,6 ,43 41 13 ,6 10 11 
Gorbea ,15148 ,39 ,257.5 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 ,0 0 1 4 ,4 2 ,0 1 ,0 ,2 3 O ,5 ,5 5 6 ,0 0 O 
Lautaro& ,40746 ,124 ,304.3 ,2 ,4.9 ,5 ,12.3 ,5 ,12.3 ,1 0 0 6 ,3 15 ,5 6 ,2 ,7 10 3 ,14 ,21 6 10 ,5 6 3 
Loncoche ,24739 ,82 ,331.5 ,2 ,8.1 ,4 ,16.2 ,4 ,16.2 ,0 0 0 2 ,3 2 ,4 3 ,3 ,3 3 2 ,7 ,19 1 6 ,4 17 3 
Lonquimay ,11049 ,70 ,633.5 ,2 ,18.1 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,0 0 ,0 O ,2 ,13 12 27 ,12 ,1 0 0 ,3 0 0 
Los Sauces ,7517 ,21 ,279.4 ,0 ,0.0 ,5 ,66.5 ,5 ,66.5 ,0 O 0 0 ,0 0 ,0 1 ,0 ,O 0 0 ,1 ,3 2 1 ,1 8 2 
Lumaco& ,10050 ,40 ,398.0 ,0 ,0.0 ,3 ,29.9 ,3 ,29.9 ,0 O 0 0 ,0 0 ,0 4 ,2 ,1 0 1 ,3 ,2 9 8 ,6 2 2 
Melipeuco ,6265 ,10 ,159.6 ,0 ,0.0 ,2 ,31.9 ,2 ,31.9 ,0 0 0 0 ,0 O ,0 0 ,0 ,0 0 0 ,5 ,2 1 0 ,0 0 1 
Nueva Imperial ,33777 ,125 ,370.1 ,2 ,5.9 ,8 ,23.7 ,8 ,23.7 ,0 0 0 4 ,10 4 ,13 6 ,3 ,2 6 5 ,2 ,3 23 19 ,11 8 6 
Padre Las Casas ,82110 ,202 ,246.0 ,5 ,6.1 ,21 ,25.6 ,21 ,25.6 ,0 O 0 12 ,28 24 ,16 17 ,11 ,O 5 24 ,16 ,13 4 7 ,2 3 18 
Perquenco ,7223 ,39 ,539.9 ,0 ,0.0 ,5 ,69.2 ,5 ,69.2 ,0 0 0 1 ,1 0 ,0 3 ,0 ,0 1 0 ,0 ,2 7 3 ,8 11 2 
