Pitrufquen,26096,92,352.5,0,0.0,4,15.3,4,15.3,00O4,9401,0316,152091,8830
Pucon ,29782 ,71 ,238.4 ,0 ,0.0 ,3 ,10.1 ,3 ,10.1 ,0 O 1 3 ,0 4 3 1 ,3 O 3 2 ,12 16 9 3 ,4 5 2 0 
Puren ,12188 ,24 ,196.9 ,1 ,8.2 ,1 ,8.2 ,1 ,8.2 ,0 0 0 0 ,2 0 0 2 ,0 2 1 0 ,1 1 0 6 ,5 4 0 0 
Renaico& ,10833 ,49 ,452.3 ,1 ,9.2 ,1 ,9.2 ,1 ,9.2 ,O O 0 O ,0 1 3 3 ,0 4 3 5 ,4 2 2 5 ,12 4 1 0 
Saavedra ,12793 ,98 ,766.0 ,0 ,0.0 ,2 ,15.6 ,2 ,15.6 ,0 0 1 1 ,0 1 5 8 ,17 13 18 11 ,9 4 5 3 ,0 0 2 0 
Temuco& ,302931 ,1033 ,341.0 ,24 ,7.9 ,73 ,24.1 ,73 ,24.1 ,0 3 27 157 ,175 129 112 58 ,25 27 49 44 ,28 16 20 30 ,28 43 55 7 
Teodoro Schmidt ,15786 ,30 ,190.0 ,0 ,0.0 ,1 ,6.3 ,1 ,6.3 ,0 0 O 1 ,2 0 1 1 ,0 0 0 1 ,3 1 2 9 ,6 3 0 0 
Tolten& ,10055 ,18 ,179.0 ,0 ,0.0 ,2 ,19.9 ,2 ,19.9 ,0 0 0 4 ,1 2 1 0 ,0 0 0 2 ,5 1 0 0 ,0 0 1 1 
Traiguen8 ,19314 ,49 ,253.7 ,0 ,0.0 ,6 ,31.1 ,6 ,31.1 ,0 0 O 0 ,0 1 0 1 ,0 0 1 4 ,4 5 7 7 ,5 10 4 O 
Victoria& ,35467 ,172 ,485.0 ,7 ,19.7 ,7 ,19.7 ,7 ,19.7 ,0 0 1 2 ,9 2 1 31 ,20 11 2 4 ,20 14 23 21 ,1 4 5 1 
Vilcun& ,30766 ,120 ,390.0 ,2 ,6.5 ,7 ,22.8 ,7 ,22.8 ,0 0 0 6 ,11 15 8 4 ,4 4 6 7 ,21 9 7 4 ,5 2 6 1 
Villarrica& ,59103 ,98 ,165.8 ,O ,0.0 ,3 ,5.1 ,3 ,5.1 ,O O O 2 ,10 6 1 1 ,0 0 1 2 ,4 7 7 23 ,19 14 1 0 
Desconocido& ,- ,8 ,- ,0 ,- ,0 ,- ,0 ,-- ,0 0 0 0 ,2 O 0 O ,0 0 1 0 ,1 1 0 1 ,2 0 O 0 
Total ,1014343 ,3555 ,350.5 ,66 ,6.5 ,259 ,25.5 ,258 ,25.4 ,1 4 33 218 ,294 244 199 204 ,130 108 154 184 ,297 278 299 285 ,205 208 180 30 
