,,,,,,,,Numerode,CasossegunFecha,,,deIniciode,Sintomas.,,,Notificacion
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero Fallecidos ,,,,,,,,,,,,
Corral ,5447 ,26 ,477.3 ,0 ,,,,,,,,,,,,
Futrono ,15261 ,61 ,399.7 ,0 ,0.0 ,2 ,13.1 ,2 ,13.1 0 ,,,0 0 ,1 3 1 ,,,0 0 
La Union& ,39538 ,87 ,220.0 ,2 ,,,,,,,,,,,,
Lago Ranco ,10292 ,7 ,68.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 O ,,,0 0 ,1 1 0 ,,,O 0 
Lanco& ,17652 ,27 ,153.0 ,0 ,,,,,,,,,,,,
Los Lagos& ,20518 ,63 ,307.0 ,1 ,4.9 ,1 ,4.9 ,1 ,4.9 O ,,,0 0 ,0 0 0 ,,,O 0 
Mafil ,7389 ,20 ,270.7 ,0 ,,,,,,,,,,,,
Mariquina& ,23250 ,21 ,90.3 ,0 ,0.0 ,1 ,4.3 ,1 ,4.3 O ,,,0 0 ,3 1 4 ,,,1 0 
Paillaco ,20798 ,33 ,158.7 ,1 ,4.8 ,3 ,14.4 ,3 ,14.4 O ,,,O O ,1 O O ,,,O 0 
Panguipulli8 ,35991 ,60 ,166.7 ,1 ,,,,,,,,,,,,
Rio Bueno ,32925 ,30 ,91.1 ,0 ,,,,,,,,,,,,
Valdivia& ,176774 ,337 ,190.6 ,6 ,,,,,,,,,,,,
Desconocido& ,- ,6 ,- ,0 ,- ,O ,- ,O ,- O ,,,O 1 ,O O O ,,,1 1 
Total ,405835 ,778 ,191.7 ,11 ,,,,,,,,,,,,
