,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3022 ,1.8 ,498.2 ,2772 ,1.8 ,474.8 ,5794 ,1.8 ,486.7 
05 09 anos ,2374 ,1.4 ,363.6 ,2240 ,1.4 ,355.8 ,4614 ,1.4 ,359.8 
10 14 anos ,2731 ,1.6 ,424.2 ,2815 ,1.8 ,453.0 ,5546 ,1.7 ,438.3 
15 19 anos ,4837 ,2.9 ,755.0 ,5509 ,3.5 ,889.4 ,10346 ,3.2 ,821.1 
20 24 anos ,13089 ,7.8 ,1785.7 ,12980 ,8.2 ,1827.7 ,26069 ,8.0 ,1806.4 
25 29 anos ,20984 ,12.5 ,2506.0 ,20400 ,12.9 ,2513.0 ,41384 ,12.7 ,2509.4 
30 34 anos ,21431 ,12.7 ,2645.1 ,19130 ,12.1 ,2433.9 ,40561 ,12.4 ,2541.1 
35 39 anos ,17815 ,10.6 ,2456.0 ,15286 ,9.7 ,2153.3 ,33101 ,10.2 ,2306.3 
40 44 anos ,14831 ,8.8 ,2196.2 ,12823 ,8.1 ,1909.0 ,27654 ,8.5 ,2053.0 
45 49 anos ,14412 ,8.6 ,2283.4 ,13459 ,8.5 ,2101.8 ,27871 ,8.5 ,2192.0 
50 54 anos ,13736 ,8.2 ,2285.4 ,12709 ,8.1 ,2038.7 ,26445 ,8.1 ,2159.8 
55 59 anos ,12947 ,7.7 ,2333.4 ,11536 ,7.3 ,1953.2 ,24483 ,7.5 ,2137.4 
60 64 anos ,9647 ,5.7 ,2048.1 ,8096 ,5.1 ,1561.8 ,17743 ,5.4 ,1793.3 
65 69 anos ,6038 ,3.6 ,1593.5 ,5308 ,3.4 ,1218.3 ,11346 ,3.5 ,1392.8 
70 74 anos ,4228 ,2.5 ,1601.1 ,4040 ,2.6 ,1265.2 ,8268 ,2.5 ,1417.2 
75 79 anos ,2911 ,1.7 ,1650.3 ,3050 ,1.9 ,1284.8 ,5961 ,1.8 ,1440.6 
80 y mas anos ,3445 ,2.0 ,1753.0 ,5441 ,3.5 ,1553.2 ,8886 ,2.7 ,1625.0 
Total ,168478 ,100 ,1755.1 ,157594 ,100 ,1598.4 ,326072 ,100 ,1675.7 
