,,,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas.NotificacionoTomadeMuestra
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
Aisen ,25002 ,17 ,68.0 ,0 ,0.0 ,5 ,20.0 ,5 ,20.0 ,0 0 1 0 0 0 0 0 0 0 O 0 1 2 0 2 5 3 
Chile Chico ,5121 ,1 ,19.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
Cisnes ,5828 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 0 0 0 0 O 0 0 0 0 0 0 0 O 0 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 0 0 0 0 O 0 0 O 0 O 0 0 O 0 
Coyhaique ,61210 ,28 ,45.7 ,0 ,0.0 ,1 ,1.6 ,1 ,1.6 ,0 0 1 0 0 1 0 0 0 0 1 0 4 3 3 2 4 9 
Guaitecas ,1599 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Lago Verde ,920 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 0 O O 0 O 0 O 0 0 0 0 0 O 0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 O 0 0 O 0 0 0 0 0 0 0 O 0 
Rio ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 0 0 O 0 0 O O O 0 0 0 0 0 O 0 
Tortel ,572 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O O O O O 0 O O O 0 0 O 0 O O 0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- ,O ,- ,0 0 1 O 0 O 0 0 O 0 O 0 0 0 0 0 O 0 
Total ,107297 ,47 ,43.8 ,0 ,0.0 ,6 ,5.6 ,6 ,5.6 ,0 0 3 0 0 2 0 0 0 0 1 0 5 5 3 4 9 12 
