Fecha,Fechanotificacion,Fechaprimerossintomas
22-02-20 ,O ,1 
23-02-20 ,O ,1 
24-02-20 ,O ,2 
25-02-20 ,O ,11 
26-02-20 ,O ,2 
27-02-20 ,O ,4 
28-02-20 ,1 ,4 
29-02-20 ,0 ,1 
01-03-20 ,0 ,9 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,9 
05-03-20 ,4 ,31 
06-03-20 ,2 ,15 
07-03-20 ,2 ,15 
08-03-20 ,6 ,24 
09-03-20 ,2 ,35 
10-03-20 ,12 ,65 
11-03-20 ,17 ,51 
12-03-20 ,13 ,70 
13-03-20 ,24 ,118 
14-03-20 ,49 ,153 
15-03-20 ,50 ,176 
16-03-20 ,87 ,282 
17-03-20 ,150 ,257 
18-03-20 ,112 ,272 
19-03-20 ,155 ,300 
20-03-20 ,177 ,364 
21-03-20 ,168 ,315 
22-03-20 ,158 ,306 
23-03-20 ,216 ,394 
24-03-20 ,291 ,337 
25-03-20 ,361 ,347 
26-03-20 ,380 ,351 
27-03-20 ,391 ,362 
28-03-20 ,286 ,328 
29-03-20 ,305 ,293 
30-03-20 ,385 ,399 
31-03-20 ,363 ,338 
01-04-20 ,355 ,483 
02-04-20 ,453 ,399 
03-04-20 ,432 ,399 
04-04-20 ,334 ,391 
05-04-20 ,256 ,358 
06-04-20 ,514 ,481 
07-04-20 ,543 ,436 
08-04-20 ,489 ,418 
09-04-20 ,475 ,467 
10-04-20 ,269 ,473 
11-04-20 ,320 ,372 
12-04-20 ,243 ,405 
