Regionderesidencia,Defunciones,Tasaobservada,,Tasaajustada
Chile ,7743 ,39.8 ,,24.9 
De Arica Y Parinacota ,28 ,11.1 ,,7.6 
De Tarapaca ,126 ,32.9 ,,28.6 
De Antofagasta ,246 ,35.6 ,,32.3 
De Atacama ,9 ,2.9 ,,2.1 
De Coquimbo ,35 ,4.2 ,,2.4 
De Valparaiso ,365 ,18.6 ,,10.0 
Metropolitana de Santiago ,6429 ,79.1 ,,53.8 
Del Libertador Gral Bernardo O Higgins ,136 ,13.7 ,,8.1 
Del Maule ,103 ,9.1 ,,5.0 
De Nuble ,49 ,9.6 ,,5.0 
Del Biobio ,81 ,4.9 ,,2.9 
De La Araucania ,69 ,6.8 ,,3.7 
De Los Rios ,12 ,3.0 ,,1.6 
De Los Lagos ,27 ,3.0 ,,1.8 
De Aisen Del Gral C Ibanez Del Campo ,1 ,0.9 ,,1.1 
De Magallanes y de La Antartica Chilena ,26 ,14.6 ,,8.5 
Ignorada ,1 ,- ,,
