Regionderesidencia,Defunciones,TasaobservadaTasa,ajustada
Chile ,3484 ,17.9 ,11.3 
De Arica Y Parinacota ,23 ,9.1 ,
De Tarapaca ,29 ,7.6 ,
De Antofagasta ,111 ,16.0 ,14.8 
De Atacama ,18 ,5.7 ,
De Coquimbo ,47 ,5.6 ,
De Valparaiso ,317 ,16.2 ,
Metropolitana de Santiago ,2166 ,26.7 ,18.2 
Del Libertador Gral Bernardo O Higgins ,118 ,11.9 ,
Del Maule ,179 ,15.8 ,
De Nuble ,38 ,7.4 ,
Del Biobio ,144 ,8.7 ,
De La Araucania ,122 ,12.0 ,
De Los Rios ,47 ,11.6 ,
De Los Lagos ,77 ,8.6 ,
De Aisen Del Gral C Ibanez Del Campo ,4 ,3.7 ,
De Magallanes y de La Antartica Chilena ,43 ,24.1 ,14.4 
Ignorada ,1 ,- ,
