,,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 
Algarrobo & ,15174 ,42 ,276.8 ,8 ,52.7 ,8 ,52.7 ,O O 1 4 ,4 O O 0 ,2 4 ,6 12 ,6 3 0 
Cabildo ,20663 ,18 ,87.1 ,3 ,14.5 ,3 ,14.5 ,O O O O ,O O O O ,5 3 ,2 4 ,4 O 0 
Calera & ,53591 ,64 ,119.4 ,16 ,29.9 ,16 ,29.9 ,0 0 O 1 ,6 2 4 7 ,2 2 ,6 17 ,11 6 0 
Calle Larga ,16482 ,44 ,267.0 ,17 ,103.1 ,17 ,103.1 ,O O O O ,O 2 3 1 ,O 4 ,3 7 ,23 1 O 
Cartagena ,25357 ,46 ,181.4 ,10 ,39.4 ,10 ,39.4 ,O O O O ,O 2 O 3 ,5 5 ,12 7 ,11 1 O 
Casablanca & ,29170 ,26 ,89.1 ,5 ,17.1 ,5 ,17.1 ,O O O 1 ,O 1 1 0 ,O 0 ,9 8 ,6 O 0 
Catemu ,15213 ,10 ,65.7 ,2 ,13.1 ,2 ,13.1 ,0 0 0 0 ,0 0 0 0 ,0 1 ,1 6 ,1 1 O 
Con Con' ,45889 ,66 ,143.8 ,15 ,32.7 ,15 ,32.7 ,O O O 2 ,6 1 1 O ,9 6 ,9 15 ,10 7 O 
EI Quisco' ,17742 ,51 ,287.5 ,12 ,67.6 ,12 ,67.6 ,O O O 1 ,O 4 2 4 ,O 5 ,9 13 ,9 4 O 
EI Tabo ,14338 ,41 ,286.0 ,10 ,69.7 ,9 ,62.8 ,0 0 0 O ,5 O 2 3 ,3 4 ,7 6 ,8 3 0 
Hijuelas ,19099 ,18 ,94.2 ,10 ,52.4 ,10 ,52.4 ,0 0 0 0 ,0 O 1 0 ,0 0 ,0 5 ,8 4 0 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O 0 2 ,1 2 O 0 ,O O ,O O ,O O O 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O O O 0 ,O O ,O 0 ,O O 0 
La Cruz ,25321 ,28 ,110.6 ,2 ,7.9 ,2 ,7.9 ,0 1 0 1 ,2 3 1 0 ,1 7 ,6 3 ,2 1 0 
La Ligua ,37739 ,15 ,39.7 ,4 ,10.6 ,4 ,10.6 ,0 0 O 1 ,0 1 O 0 ,0 1 ,O 8 ,3 1 0 
Limache ,49931 ,94 ,188.3 ,12 ,24.0 ,12 ,24.0 ,O O 0 2 ,O 5 9 6 ,1 7 ,23 28 ,12 1 0 
Llaillay ,26533 ,54 ,203.5 ,14 ,52.8 ,14 ,52.8 ,0 O O 1 ,1 O 0 0 ,1 2 ,5 27 ,16 1 0 
Los Andes ,68093 ,146 ,214.4 ,49 ,72.0 ,49 ,72.0 ,O 0 O 2 ,2 O 3 O ,2 7 ,19 49 ,56 6 O 
Nogales ,23490 ,16 ,68.1 ,4 ,17.0 ,4 ,17.0 ,0 O 0 0 ,0 O O O ,O 2 ,4 6 ,3 1 0 
