LoBarnechea,124076,1179,950.2,261,210.4,261,210.4
Lo Espejo ,103865 ,1295 ,1246.8 ,,,,
Lo Prado ,104403 ,1129 ,1081.4 ,,,,
Macul ,134635 ,1684 ,1250.8 ,407 ,302.3 ,403 ,299.3 
Maipu ,578605 ,3765 ,650.7 ,934 ,161.4 ,929 ,160.6 
Maria Pinto ,14926 ,50 ,335.0 ,,,,
Melipilla ,141612 ,693 ,489.4 ,271 ,191.4 ,269 ,190.0 
Nunoa ,250192 ,1940 ,775.4 ,560 ,223.8 ,556 ,222.2 
Padre Hurtado ,74188 ,378 ,509.5 ,69 ,93.0 ,67 ,90.3 
Paine ,82766 ,273 ,329.8 ,,,,
Pedro Aguirre Cerda ,107803 ,1314 ,1218.9 ,,,,
Pefaflor ,101058 ,446 ,441.3 ,92 ,91.0 ,89 ,88.1 
Penalolen ,266798 ,4207 ,1576.8 ,,,,
Pirque ,30433 ,289 ,949.6 ,106 ,348.3 ,106 ,348.3 
Providencia ,157749 ,1201 ,761.3 ,338 ,214.3 ,336 ,213.0 
Pudahuel? ,253139 ,2288 ,903.9 ,374 ,147.7 ,370 ,146.2 
Puente Alto ,645909 ,6698 ,1037.0 ,,,,
Quilicura ,254694 ,3091 ,1213.6 ,531 ,208.5 ,531 ,208.5 
Quinta Normal& ,136368 ,1548 ,1135.2 ,204 ,149.6 ,200 ,146.7 
Recoleta ,190075 ,3623 ,1906.1 ,,,,
Renca ,160847 ,1675 ,1041.4 ,253 ,157.3 ,251 ,156.0 
San Bernardo ,334836 ,2877 ,859.2 ,620 ,185.2 ,612 ,182.8 
San Joaquin ,103485 ,1874 ,1810.9 ,298 ,288.0 ,295 ,285.1 
San Jose de Maipo ,18644 ,222 ,1190.7 ,88 ,472.0 ,86 ,461.3 
San Miguel ,133059 ,1687 ,1267.9 ,373 ,280.3 ,371 ,278.8 
San Pedro ,11953 ,37 ,309.5 ,2 ,16.7 ,2 ,16.7 
San Ramon ,86510 ,1698 ,1962.8 ,,,,
Santiago* ,503147 ,6278 ,1247.7 ,1157 ,230.0 ,1148 ,228.2 
Talagante ,81838 ,276 ,337.3 ,64 ,78.2 ,64 ,78.2 
Tiltil ,21477 ,121 ,563.4 ,,,,
Vitacura ,96774 ,712 ,735.7 ,156 ,161.2 ,155 ,160.2 
