ZonadeChile,Poblacion,CasosAcumulados,CasosFallecidos,Tasaincidenciaacumulada,Tasamortalidadacumulada,TasaLetalidad
Region de Arica y Parinacota ,252110 ,636 ,8 ,252.3 ,3.2 ,1.3% 
Region de Tarapaca ,382773 ,2526 ,22 ,659.9 ,5.7 ,0.9% 
Region de Antofagasta ,691854 ,2585 ,32 ,373.6 ,4.6 ,1.2% 
Region de Atacama ,314709 ,232 ,0 ,73.7 ,0.0 ,0.0% 
Region de Coquimbo ,836096 ,668 ,2 ,79.9 ,0.2 ,0.3% 
Region de Valparaiso ,1960170 ,3348 ,70 ,170.8 ,3.6 ,2.1% 
Region Metropolitana de Santiago ,8125072 ,85239 ,824 ,1049.1 ,10.1 ,1.0% 
Region del Libertador General Bernardo OHiggins ,991063 ,813 ,18 ,82.0 ,1.8 ,2.2% 
Region de Maule ,1131939 ,1341 ,17 ,118.5 ,1.5 ,1.3% 
Region del Nuble ,511551 ,1290 ,23 ,252.2 ,4.5 ,1.8% 
Region del Biobio ,1663696 ,2070 ,11 ,124.4 ,0.7 ,0.5% 
Region de la Araucania ,1014343 ,2111 ,47 ,208.1 ,4.6 ,2.2% 
Region de Los Rios ,405835 ,363 ,7 ,89.4 ,1.7 ,1.9% 
Region de LOs Lagos ,891440 ,863 ,13 ,96.8 ,1.5 ,1.5% 
Region de Aysen del General Carlos lbanez de Campo ,107297 ,17 ,0 ,15.8 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1057 ,19 ,592.6 ,10.7 ,1.8% 
,,,,,,
Total ,,,,,,
