,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE SE SE 21 22 23 
Ancud ,42458 ,84 ,197.8 ,10 ,23.6 ,10 ,23.6 ,O O O O ,1 ,O 6 ,3 1 21 ,19 23 ,10 O O 
Calbuco ,36744 ,8 ,21.8 ,O ,0.0 ,O ,0.0 ,O 0 O 3 ,1 ,1 1 ,1 0 0 ,1 O ,0O 0 O 
Castro ,47607 ,8 ,16.8 ,0 ,0.0 ,O ,0.0 ,O O O 2 ,O ,5 O ,O O O ,1 O ,O 0 O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,O O ,O O O ,O O ,O O O 
Chonchi ,16013 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,0 O ,0 O O ,O O ,O 0 O 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,0 ,O 1 ,0 0 0 ,0 0 ,0 0 0 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O 0 O ,O ,0 O ,0 0 O ,0 0 ,0 0 O 
Dalcahue ,15069 ,6 ,39.8 ,2 ,13.3 ,2 ,13.3 ,O O O O ,O ,O O ,0 O O ,1 3 ,2 O O 
Fresia ,12656 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,0 O ,0 0 O ,0 O ,O 0 0 
Frutillar ,20223 ,12 ,59.3 ,5 ,24.7 ,5 ,24.7 ,O O 0 0 ,1 ,3 2 ,0 0 0 ,1 O ,3 2 O 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,O ,0.0 ,O 0 0 0 ,O ,O O ,0 0 O ,0 1 ,O 0 O 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,O ,0.0 ,0 O O O ,3 ,0 O ,0 O O ,0 O ,O O O 
Llanquihue ,18621 ,6 ,32.2 ,O ,0.0 ,O ,0.0 ,O 0 O O ,1 ,O O ,0 O O ,5 O ,O 0 O 
Los Muermos ,17817 ,2 ,11.2 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O ,O O ,O O O ,1 O ,O 0 O 
Maullin ,14894 ,15 ,100.7 ,8 ,53.7 ,8 ,53.7 ,O 0 O O ,O ,O 1 ,O O O ,O 5 ,9 O O 
Osorno ,173410 ,369 ,212.8 ,25 ,14.4 ,25 ,14.4 ,0 0 3 58 ,104 ,65 36 ,18 15 19 ,14 10 ,13 14 0 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O O O ,O O ,O O 0 
Puerto Montt ,269398 ,133 ,49.4 ,52 ,19.3 ,52 ,19.3 ,O 1 1 13 ,18 ,11 3 ,5 O 1 ,6 17 ,47 10 0 
Puerto Octay ,9192 ,5 ,54.4 ,O ,0.0 ,0 ,0.0 ,O O O 1 ,O ,0 O ,1 1 O ,2 O ,O 0 0 
