,,,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas.Notificacion,OToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Cases Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE SE 17 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE SE 25 26 
Bulnes& ,22607 ,255 ,1128.0 ,5 ,22.1 ,21 ,92.9 ,20 ,88.5 ,0 0 0 9 ,27 10 7 8 ,8 9 23 ,44 26 ,19 ,17 16 ,19 12 
Chillan ,198624 ,1155 ,581.5 ,13 ,6.5 ,204 ,102.7 ,204 ,102.7 ,O 1 28 119 ,117 75 33 25 ,17 15 20 ,64 59 ,68 ,112 123 ,170 104 
Chillan Viejo ,33827 ,200 ,591.2 ,1 ,3.0 ,33 ,97.6 ,33 ,97.6 ,O O 5 7 ,19 7 14 3 ,1 0 4 ,15 22 ,12 ,27 21 ,25 18 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O ,0 O O 0 ,O 0 0 ,O O ,0 ,0 O ,0 0 
Coelemu ,16845 ,62 ,368.1 ,1 ,5.9 ,16 ,95.0 ,16 ,95.0 ,O 0 0 O ,2 2 O 0 ,O 0 0 ,2 6 ,11 ,8 9 ,18 4 
Coihueco ,28375 ,99 ,348.9 ,4 ,14.1 ,24 ,84.6 ,24 ,84.6 ,0 O 0 2 ,3 4 6 12 ,12 3 1 ,8 1 ,1 ,5 11 ,17 11 
EI Carmen ,12334 ,64 ,518.9 ,1 ,8.1 ,10 ,81.1 ,10 ,81.1 ,0 O 0 2 ,0 1 0 0 ,0 0 1 ,3 7 ,15 ,4 16 ,9 6 
Ninhue ,5414 ,34 ,628.0 ,2 ,36.9 ,14 ,258.6 ,14 ,258.6 ,O O 0 O ,0 2 O 2 ,O O 0 ,1 3 ,2 ,2 7 ,7 8 
Niquen ,11567 ,67 ,579.2 ,2 ,17.3 ,6 ,51.9 ,6 ,51.9 ,0 0 0 1 ,0 1 2 0 ,0 1 0 ,5 3 ,11 ,17 18 ,4 4 
Pemuco ,8639 ,76 ,879.7 ,O ,0.0 ,16 ,185.2 ,16 ,185.2 ,0 0 0 1 ,0 4 1 0 ,0 0 3 ,1 2 ,5 ,5 20 ,32 2 
Pinto ,11880 ,35 ,294.6 ,0 ,0.0 ,12 ,101.0 ,12 ,101.0 ,0 0 0 2 ,3 5 1 1 ,0 O 0 ,3 0 ,2 ,0 3 ,8 7 
Portezuelo ,4940 ,11 ,222.7 ,0 ,0.0 ,4 ,81.0 ,4 ,81.0 ,0 0 0 0 ,0 0 0 0 ,0 0 1 ,4 2 ,0 ,0 0 ,4 0 
Quillon ,18777 ,122 ,649.7 ,3 ,16.0 ,9 ,47.9 ,9 ,47.9 ,O 0 0 8 ,8 8 1 0 ,2 2 2 ,9 6 ,13 ,24 20 ,15 4 
Quirihue ,12192 ,39 ,319.9 ,1 ,8.2 ,15 ,123.0 ,15 ,123.0 ,O O 0 0 ,1 2 O 1 ,0 1 7 ,4 1 ,4 ,1 1 ,8 8 
Ranquil ,6261 ,22 ,351.4 ,0 ,0.0 ,4 ,63.9 ,4 ,63.9 ,0 0 0 1 ,3 6 0 0 ,0 0 1 ,0 0 ,0 ,1 4 ,5 1 
San Carlos ,56252 ,321 ,570.6 ,3 ,5.3 ,49 ,87.1 ,49 ,87.1 ,O O 2 5 ,11 9 2 3 ,3 3 7 ,7 13 ,28 ,60 92 ,52 24 
San Fabian ,4654 ,9 ,193.4 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 0 3 ,3 1 O 1 ,0 O 0 ,O 1 ,0 ,0 O ,0 0 
San Ignacio ,16624 ,132 ,794.0 ,2 ,12.0 ,15 ,90.2 ,15 ,90.2 ,O O 0 2 ,3 1 0 1 ,3 3 0 ,2 6 ,8 ,9 52 ,38 4 
San Nicolas ,12172 ,63 ,517.6 ,1 ,8.2 ,9 ,73.9 ,9 ,73.9 ,O O O 2 ,6 5 4 O ,O 0 2 ,3 9 ,8 ,9 5 ,3 7 
Treguaco ,5696 ,3 ,52.7 ,O ,0.0 ,1 ,17.6 ,1 ,17.6 ,O 0 0 0 ,0 0 O O ,O O 0 ,1 0 ,O ,1 O ,1 O 
Yungay ,18596 ,94 ,505.5 ,O ,0.0 ,18 ,96.8 ,18 ,96.8 ,0 O 0 3 ,16 21 3 4 ,6 2 2 ,2 0 ,6 ,2 5 ,11 11 
