,,,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas.,NotificacionOToma,deMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 ,SE SE SE SE 16 17 18 19 ,SE SE SE SE 20 21 22 23 ,SE SE SE SE 24 25 26 27 
Corral ,5447 ,24 ,440.6 ,O ,0.0 ,1 ,18.4 ,1 ,18.4 ,O O 0 ,O 0 O 0 ,1 0 0 6 ,4 2 2 5 ,2 1 1 0 
Futrono ,15261 ,60 ,393.2 ,O ,0.0 ,1 ,6.6 ,1 ,6.6 ,O O 0 ,1 3 1 O ,O O 0 1 ,5 19 8 15 ,5 1 1 O 
La Union ,39538 ,88 ,222.6 ,2 ,5.1 ,10 ,25.3 ,10 ,25.3 ,0 O 1 ,5 8 4 6 ,9 5 2 2 ,2 2 6 11 ,12 8 5 O 
Lago Ranco ,10292 ,7 ,68.0 ,O ,0.0 ,5 ,48.6 ,5 ,48.6 ,0 O 0 ,1 1 O 0 ,O O 0 O ,O O 0 O ,0 1 4 O 
Lanco ,17652 ,28 ,158.6 ,O ,0.0 ,2 ,11.3 ,2 ,11.3 ,O O O ,O 1 2 1 ,2 1 3 O ,O O 1 3 ,10 3 1 0 
LOs Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,1 ,4.9 ,1 ,4.9 ,0 O 0 ,O 0 0 0 ,0 O 0 O ,1 12 11 14 ,21 4 O 0 
Mafil ,7389 ,20 ,270.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,1 0 0 0 ,1 0 0 O ,1 2 0 2 ,12 1 O 0 
Mariquina ,23250 ,22 ,94.6 ,O ,0.0 ,1 ,4.3 ,1 ,4.3 ,O O 0 ,3 1 4 1 ,O O 0 2 ,1 3 2 O ,3 1 1 0 
Paillaco& ,20798 ,30 ,144.2 ,O ,0.0 ,3 ,14.4 ,3 ,14.4 ,O O 0 ,1 0 O 0 ,0 0 0 O ,8 13 3 0 ,2 3 O 0 
Panguipulli8 ,35991 ,56 ,155.6 ,1 ,2.8 ,11 ,30.6 ,11 ,30.6 ,O O 0 ,O 0 0 0 ,1 0 1 O ,4 4 8 18 ,7 8 5 0 
Rio Bueno ,32925 ,24 ,72.9 ,O ,0.0 ,4 ,12.1 ,4 ,12.1 ,O O 0 ,3 1 3 2 ,1 2 1 O ,0 3 1 1 ,1 3 2 0 
Valdivia ,176774 ,329 ,186.1 ,6 ,3.4 ,70 ,39.6 ,70 ,39.6 ,O 1 1 ,25 32 25 18 ,9 8 4 2 ,10 30 24 16 ,33 42 47 2 
Desconocido& ,- ,6 ,- ,O ,- ,1 ,- ,1 ,- ,O O 1 ,O 0 O 1 ,1 O 0 O ,O O 1 O ,1 1 O 0 
Total ,405835 ,757 ,186.5 ,10 ,2.5 ,110 ,27.1 ,110 ,27.1 ,0 1 3 ,40 47 39 29 ,25 16 11 13 ,36 90 67 85 ,109 77 67 2 
