,,,Numerode,Casos,segun,Fechade,Iniciode,Sintomas.,,Notificacion,oToma,de,Muestra,,
,Residencia ,SE SE SE ,SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 ,12 13 ,14 15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 
Region de Arica y Parinacota ,1 ,O O O ,O O ,O 1 ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Region de Tarapaca ,295 ,O O O ,O O ,O 1 ,O ,1 4 ,95 ,29 ,32 ,25 ,34 ,28 ,20 ,25 ,1 
Region de Antofagasta ,98 ,O O O ,O O ,O O ,O ,5 O ,1 ,1 ,O ,O ,5 ,11 ,44 ,30 ,1 
Region de Atacama ,26 ,O 0 O ,O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,9 ,1 ,16 
Region de Coquimbo ,153 ,O O O ,1 O ,1 O ,1 ,1 1 ,1 ,3 ,10 ,8 ,9 ,29 ,19 ,66 ,3 
Region de Valparaiso ,342 ,O O O ,1 3 ,2 1 ,1 ,O O ,11 ,8 ,5 ,42 ,35 ,44 ,77 ,102 ,10 
Region Metropolitana de Santiago ,19089 ,O O 8 ,10 10 ,45 212 ,391 ,614 793 ,1744 ,2761 ,2937 ,2198 ,1910 ,1844 ,1891 ,1625 ,96 
Region del Libertador General Bernardo OHiggins ,168 ,O 0 O ,O O ,O 1 ,O ,1 O ,1 ,2 ,12 ,O ,8 ,5 ,64 ,63 ,11 
Region del Maule ,43 ,O O O ,1 O ,O 1 ,O ,O O ,O ,1 ,O ,4 ,7 ,7 ,12 ,10 ,O 
Region del Nuble ,O ,O O O ,O O ,O O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Region del Biobio ,182 ,O 0 O ,1 O ,O O ,O ,O O ,2 ,4 ,6 ,7 ,10 ,15 ,50 ,85 ,2 
Region de la Araucania ,8 ,0 0 O ,O 1 ,O 1 ,O ,O O ,1 ,0 ,1 ,1 ,0 ,1 ,2 ,O ,0 
Region de Los Rios ,6 ,O O 1 ,O O ,O 1 ,1 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O ,O 
Region de Los Lagos ,46 ,O O 9 ,10 3 ,1 O ,O ,2 O ,O ,1 ,2 ,3 ,1 ,1 ,7 ,6 ,O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O 0 1 ,O O ,O O ,0 ,0 O ,O ,O ,O ,O ,0 ,O ,O ,O ,0 
Region de Magallanes y la Antartica Chilena ,68 ,O 0 O ,O O ,1 42 ,15 ,5 1 ,1 ,O ,O ,O ,O ,1 ,1 ,1 ,0 
