,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,32044 ,11.8 ,6476 ,31.8 
Diabetes ,13959 ,5.1 ,4056 ,19.9 
Obesidad ,7695 ,2.8 ,1436 ,7.1 
Asma ,6974 ,2.6 ,651 ,3.2 
Enfermedad cardiovascular ,1894 ,0.7 ,858 ,4.2 
Enfermedad pulmonar cronica ,1643 ,0.6 ,894 ,4.4 
Cardiopatia cronica ,1436 ,0.5 ,894 ,4.4 
Enfermedad renal cronica ,1294 ,0.5 ,879 ,4.3 
Enfermedad neurologica cronica ,907 ,0.3 ,595 ,2.9 
Inmunocomprometido ,277 ,0.1 ,210 ,1.0 
Enfermedad hepatica cronica ,218 ,0.1 ,227 ,1.1 
