,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas.,Notificacion,oTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 ,SE 18 ,SE SE SE 19 20 21 ,SE SE 22 23 ,SE 24 ,SE SE SE 25 26 27 
Antofagasta8 ,425725 ,4067 ,955.3 ,50 ,11.7 ,760 ,178.5 ,759 ,178.3 ,0 1 2 28 31 41 60 ,109 160 ,216 ,311 313 304 ,354 492 ,594 ,662 376 13 
Calama& ,190336 ,4240 ,2227.6 ,99 ,52.0 ,887 ,466.0 ,876 ,460.2 ,1 0 2 3 3 8 17 ,17 40 ,54 ,91 234 283 ,439 807 ,969 ,839 422 11 
Maria Elena& ,6814 ,247 ,3624.9 ,5 ,73.4 ,39 ,572.4 ,38 ,557.7 ,1 0 0 0 0 0 5 ,9 16 ,45 ,42 30 13 ,13 11 ,7 ,39 15 1 
Mejillones ,14776 ,373 ,2524.4 ,4 ,27.1 ,44 ,297.8 ,44 ,297.8 ,0 0 0 0 1 8 15 ,18 30 ,76 ,45 51 19 ,19 10 ,17 ,37 27 0 
Ollague ,287 ,6 ,2090.6 ,0 ,0.0 ,1 ,348.4 ,1 ,348.4 ,0 0 0 O 0 0 O ,O O ,0 ,O 0 O ,0 0 ,2 ,4 0 0 
San Pedro de Atacama ,10434 ,106 ,1015.9 ,1 ,9.6 ,42 ,402.5 ,42 ,402.5 ,0 0 0 2 1 1 0 ,0 1 ,0 ,0 2 4 ,4 18 ,21 ,30 22 0 
Sierra Gorda ,1746 ,46 ,2634.6 ,0 ,0.0 ,4 ,229.1 ,4 ,229.1 ,0 0 0 O 0 0 O ,O 0 ,3 ,5 5 3 ,12 6 ,8 ,3 1 0 
Talta ,13657 ,71 ,519.9 ,2 ,14.6 ,11 ,80.5 ,11 ,80.5 ,0 0 0 0 0 2 3 ,2 1 ,1 ,3 12 6 ,9 7 ,9 ,13 3 0 
Tocopilla ,28079 ,134 ,477.2 ,4 ,14.2 ,41 ,146.0 ,41 ,146.0 ,0 0 0 2 0 4 5 ,O 1 ,2 ,7 8 8 ,4 5 ,24 ,44 20 0 
Desconocido& ,- ,98 ,- ,O ,,56 ,- ,56 ,,0 0 0 0 0 O O ,O 5 ,0 ,1 1 O ,0 5 ,11 ,44 30 1 
Total ,691854 ,9388 ,1356.9 ,165 ,23.8 ,1885 ,272.5 ,1872 ,270.6 ,2 1 4 35 36 64 105 ,155 254 ,397 ,505 656 640 ,854 1361 ,1662 ,1715 916 26 
