,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 
Cauquenes ,44143 ,13 ,29.4 ,3 ,6.8 ,3 ,6.8 ,O O O O 2 3 1 ,5 2 
Chanco ,9331 ,3 ,32.2 ,1 ,10.7 ,1 ,10.7 ,O O O O 1 O O ,1 1 
Colbun ,22565 ,6 ,26.6 ,0 ,0.0 ,O ,0.0 ,O O O O 3 3 O ,0 O 
Constitucion ,50348 ,21 ,41.7 ,3 ,6.0 ,3 ,6.0 ,O O O O 3 3 5 ,7 3 
Curepto ,9426 ,8 ,84.9 ,O ,0.0 ,O ,0.0 ,O O O O O 3 2 ,3 O 
Curico ,163626 ,45 ,27.5 ,11 ,6.7 ,11 ,6.7 ,O 1 2 3 6 3 12 ,10 8 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O 
Hualane ,10222 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,0 O 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,O ,0.0 ,O O O 0 O 1 O ,1 O 
Linares ,101073 ,27 ,26.7 ,4 ,4.0 ,4 ,4.0 ,1 O O 2 5 5 4 ,6 3 
Longavi ,32810 ,4 ,12.2 ,O ,0.0 ,O ,0.0 ,O O O 1 O 1 1 ,1 O 
Maule & ,60000 ,23 ,38.3 ,2 ,3.3 ,2 ,3.3 ,O O O 1 1 2 5 ,13 1 
Molina ,49800 ,7 ,14.1 ,0 ,0.0 ,O ,0.0 ,O O 0 1 2 O 1 ,3 O 
Parral ,44544 ,9 ,20.2 ,1 ,2.2 ,1 ,2.2 ,O O O 1 3 2 2 ,1 O 
Pelarco ,9083 ,5 ,55.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O 3 ,2 O 
Pelluhue ,8092 ,2 ,24.7 ,O ,0.0 ,O ,0.0 ,O O O 1 O O 1 ,O O 
Pencahue ,8601 ,3 ,34.9 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,3 O 
Rauco ,11248 ,2 ,17.8 ,0 ,0.0 ,O ,0.0 ,O O O O 1 1 O ,O O 
Retiro ,21071 ,1 ,4.7 ,0 ,0.0 ,O ,0.0 ,O O O 0 O O 1 ,0 O 
Rio Claro ,14753 ,8 ,54.2 ,2 ,13.6 ,2 ,13.6 ,O O O 2 O 1 1 ,3 1 
Romeral ,16170 ,13 ,80.4 ,1 ,6.2 ,1 ,6.2 ,O O O 1 2 O O ,10 0 
