,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 
Ancud & ,42458 ,10 ,23.6 ,2 ,4.7 ,2 ,4.7 ,O O O 0 ,1 0 ,5 3 1 0 
Calbuco ,36744 ,7 ,19.1 ,O ,0.0 ,O ,0.0 ,O O O 3 ,1 1 ,1 1 O O 
Castro ,47607 ,8 ,16.8 ,1 ,2.1 ,1 ,2.1 ,O O O 2 ,O 5 ,O O O 1 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O O ,1 O ,O 0 O O 
Chonchi ,16013 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O 0 ,0 0 ,O O O O 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,0 O ,1 O O O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,0 O ,O O O O 
Dalcahue ,15069 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O O ,O O O O 
Fresia ,12656 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,0 O ,O O O O 
Frutillar ,20223 ,6 ,29.7 ,O ,0.0 ,0 ,0.0 ,O O O 0 ,1 3 ,2 O O 0 
Futaleufu ,2806 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O ,0 O ,O O O O 
Hualaihue ,9525 ,3 ,31.5 ,O ,0.0 ,0 ,0.0 ,O O 0 O ,3 0 ,O 0 O 0 
Llanquihue ,18621 ,1 ,5.4 ,O ,0.0 ,O ,0.0 ,O O O O ,1 O ,O O O O 
Los Muermos ,17817 ,1 ,5.6 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O O ,O 0 O O 
Maullin ,14894 ,1 ,6.7 ,O ,0.0 ,0 ,0.0 ,O O O O ,0 0 ,1 O O O 
Osorno & ,173410 ,306 ,176.5 ,24 ,13.8 ,23 ,13.3 ,O O 3 58 ,103 65 ,38 18 15 6 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O 0 ,O 0 ,O O O 0 
Puerto Montt & ,269398 ,52 ,19.3 ,1 ,0.4 ,1 ,0.4 ,O 1 1 13 ,18 11 ,3 5 O O 
Puerto Octay ,9192 ,4 ,43.5 ,3 ,32.6 ,3 ,32.6 ,O O O 1 ,O O ,O 2 1 O 
Puerto Varas ,48620 ,9 ,18.5 ,O ,0.0 ,O ,0.0 ,O O 1 0 ,2 4 ,2 O O O 
Puqueldon ,4201 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O 0 ,O 0 ,O O O O 
Purranque ,21080 ,19 ,90.1 ,2 ,9.5 ,2 ,9.5 ,O O 0 0 ,3 10 ,3 1 2 0 
Puyehue & ,11787 ,4 ,33.9 ,2 ,17.0 ,2 ,17.0 ,0 O O 1 ,1 0 ,O 1 1 0 
