,,,,,Numero,deCasos,segunFechade,Inicio,deSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE 11 12 ,SE SE SE 13 14 15 ,SE SE SE 16 17 18 
Aisen ,25002 ,1 ,4.0 ,O ,0.0 ,O ,0.0 ,O O ,1 O ,O O O ,O O O 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O 1 O ,O O O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
Cochrane ,3685 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O O ,O O 0 ,O O O 
Coyhaique & ,61210 ,2 ,3.3 ,O ,0.0 ,O ,0.0 ,0 O ,1 O ,O 1 0 ,O O O 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O O O 
Total ,107297 ,4 ,3.7 ,0 ,0.0 ,0 ,0.0 ,0 0 ,2 0 ,0 2 O ,0 0 0 
