ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada
Region de Arica y Parinacota ,252110 ,297 ,117.8 
Region de Tarapaca ,382773 ,200 ,52.3 
Region de Antofagasta ,691854 ,579 ,83.7 
Region de Atacama ,314709 ,45 ,14.3 
Region de Coquimbo ,836096 ,88 ,10.5 
Region de Valparaiso ,1960170 ,588 ,30.0 
Region Metropolitana de Santiago ,8125072 ,10491 ,129.1 
Region del Libertador General Bernardo O'Higgins ,991063 ,114 ,11.5 
Region de Maule ,1131939 ,408 ,36.0 
Region del Nuble ,511551 ,766 ,149.7 
Region de Biobio ,1663696 ,727 ,43.7 
Region de la Araucania ,1014343 ,1290 ,127.2 
Region de LOs Rios ,405835 ,181 ,44.6 
Region de Los Lagos ,891440 ,479 ,53.7 
Region de Aysen del General Carlos Ibanez del Campo& ,107297 ,4 ,3.7 
Region de Magallanes y la Antartica Chilena ,178362 ,721 ,404.2 
Desconocido ,- ,30 ,- 
Total pais ,19458310 ,17008 ,87.4 
