,,,,,Numero,deCasos,segunFechade,IniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 
Alto del Carmen ,5729 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O O O 0 
Caldera ,19426 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Copiapo ,171766 ,19 ,11.1 ,11 ,6.4 ,11 ,6.4 ,0 O 1 O 2 1 4 0 10 1 
Diego de Almagro ,14358 ,1 ,7.0 ,O ,0.0 ,O ,0.0 ,O O O O 1 O O O O O 
Freirina ,7681 ,1 ,13.0 ,1 ,13.0 ,1 ,13.0 ,O O O O O O O 1 O O 
Huasco ,11264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O 
Tierra Amarilla ,14312 ,7 ,48.9 ,2 ,14.0 ,2 ,14.0 ,O O O O O 2 3 O 2 O 
Vallenar ,57009 ,17 ,29.8 ,12 ,21.0 ,12 ,21.0 ,O 0 O O O O 1 7 7 2 
,,,,,,,,
