Region,Poblacion,Confirmados,Tasaincidencia
Arica y Parinacota ,252110 ,11 ,"4,4 "
Tarapaca ,382773 ,12 ,"3,1 "
Antofagasta ,691854 ,57 ,"8,2 "
Atacama ,314709 ,5 ,"1,6 "
Coquimbo ,836096 ,38 ,"4,5 "
Valparaiso ,1960170 ,163 ,"8,3 "
Metropolitana ,8125072 ,1769 ,"21,8 "
O'Higgins ,991063 ,34 ,"3,4 "
Maule ,1131939 ,90 ,"8,0 "
Nuble ,511551 ,349 ,"68,2 "
Biobio ,1663696 ,156 ,"9,4 "
Araucania ,1014343 ,324 ,"31,9 "
Los Rios ,405835 ,67 ,"16,5 "
Los Lagos ,891440 ,205 ,"23,0 "
Aisen ,107297 ,3 ,"2,8 "
Magallanes ,178362 ,91 ,"51,0 "
Desconocido ,- ,24 ,
Total pais ,19458310 ,3398 ,"17,5 "
