,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.NotificacionO,Tomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 ,SE SE 26 27 
Andacollo ,11791 ,40 ,339.2 ,1 ,8.5 ,8 ,67.8 ,8 ,67.8 ,0 0 0 0 0 O 0 0 0 2 ,7 3 ,3 ,7 5 ,0 5 ,6 2 
Canela ,9546 ,16 ,167.6 ,1 ,10.5 ,8 ,83.8 ,8 ,83.8 ,0 0 0 0 0 0 0 0 0 1 ,0 2 ,0 ,2 2 ,0 1 ,6 2 
Combarbala ,13884 ,30 ,216.1 ,O ,0.0 ,1 ,7.2 ,1 ,7.2 ,0 0 0 0 0 O 0 0 0 2 ,3 4 ,3 ,5 3 ,2 7 ,0 1 
Coquimbo& ,256735 ,1158 ,451.0 ,6 ,2.3 ,248 ,96.6 ,248 ,96.6 ,0 0 4 13 3 1 1 6 7 23 ,84 85 ,70 ,150 141 ,149 173 ,207 41 
Illapel ,32801 ,145 ,442.1 ,0 ,0.0 ,46 ,140.2 ,46 ,140.2 ,0 0 0 0 4 7 7 0 0 1 ,0 1 ,6 ,21 14 ,18 20 ,36 10 
La Higuera ,4450 ,5 ,112.4 ,0 ,0.0 ,2 ,44.9 ,2 ,44.9 ,0 0 0 0 0 0 0 0 0 0 ,O 0 ,O ,1 2 ,O 0 ,O 2 
La Serena& ,249656 ,1014 ,406.2 ,10 ,4.0 ,242 ,96.9 ,242 ,96.9 ,0 0 0 3 6 4 3 3 5 17 ,51 50 ,76 ,114 114 ,130 196 ,171 71 
Los Vilos& ,23374 ,63 ,269.5 ,1 ,4.3 ,28 ,119.8 ,28 ,119.8 ,0 0 0 1 0 O 0 0 0 0 ,1 0 ,3 ,5 6 ,7 12 ,24 4 
Monte Patria ,32527 ,206 ,633.3 ,2 ,6.1 ,37 ,113.8 ,37 ,113.8 ,0 0 0 0 0 0 0 0 0 1 ,6 19 ,25 ,27 24 ,45 22 ,29 8 
Ovalle& ,121269 ,914 ,753.7 ,10 ,8.2 ,144 ,118.7 ,144 ,118.7 ,0 0 3 2 4 2 0 5 1 15 ,32 47 ,58 ,114 167 ,177 143 ,120 24 
Paiguano ,4675 ,7 ,149.7 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 0 O 0 0 0 0 ,O 0 ,2 ,2 1 ,2 O ,0 O 
Punitaqui ,12165 ,52 ,427.5 ,3 ,24.7 ,7 ,57.5 ,7 ,57.5 ,0 0 0 0 0 O 0 1 1 3 ,6 0 ,4 ,16 2 ,7 5 ,7 O 
Rio Hurtado ,4372 ,19 ,434.6 ,O ,0.0 ,2 ,45.7 ,2 ,45.7 ,0 0 O 1 O O 0 0 0 1 ,O 1 ,2 ,5 6 ,1 O ,O 2 
Salamanca ,29110 ,57 ,195.8 ,O ,0.0 ,3 ,10.3 ,3 ,10.3 ,0 0 0 1 2 1 2 1 0 3 ,2 2 ,5 ,15 14 ,3 3 ,2 1 
Vicuna ,29741 ,37 ,124.4 ,O ,0.0 ,5 ,16.8 ,5 ,16.8 ,0 0 0 0 0 O 1 0 1 3 ,5 3 ,5 ,4 7 ,2 1 ,5 O 
Desconocido& ,- ,140 ,- ,0 ,- ,63 ,- ,63 ,- ,0 0 0 1 0 1 0 1 1 1 ,1 3 ,9 ,7 10 ,28 14 ,27 36 
Total ,836096 ,3903 ,466.8 ,34 ,4.1 ,844 ,100.9 ,844 ,100.9 ,0 0 7 22 19 16 14 17 16 73 ,198 220 ,271 ,495 518 ,571 602 ,640 204 
