,,,,,,,,,,,Numerode,Casossegun,Fechade,Iniciode,Sintomas.,NotificacionoTomade,Muestra,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de ,Tasa de Incidencia ,Numero de ,Tasa de Incidencia ,SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE 
,,Confirmados ,acumulada ,Fallecidos ,Mortalidad ,Casos Actuales ,Actual ,Casos Activos ,Activos ,9 10 11 ,12 ,13 ,14 15 ,16 ,17 ,18 19 20 ,21 ,22 ,23 ,24 25 ,26 ,27 
Alhue ,7405 ,98 ,1323.4 ,2 ,27.0 ,25 ,337.6 ,25 ,337.6 ,0 O 0 ,O ,0 ,1 0 ,O ,0 ,0 4 1 ,4 ,8 ,15 ,25 15 ,18 ,7 
Buin& ,109641 ,1862 ,1698.3 ,54 ,49.3 ,195 ,177.9 ,194 ,176.9 ,0 O 0 ,5 ,17 ,10 15 ,18 ,19 ,62 136 189 ,228 ,215 ,283 ,267 203 ,156 ,39 
Calera de Tango ,28525 ,463 ,1623.1 ,5 ,17.5 ,85 ,298.0 ,85 ,298.0 ,0 0 0 ,4 ,4 ,1 1 ,5 ,1 ,8 19 32 ,36 ,69 ,69 ,75 54 ,74 ,11 
Cerrillos& ,88956 ,2573 ,2892.4 ,53 ,59.6 ,218 ,245.1 ,216 ,242.8 ,1 3 1 ,4 ,11 ,14 20 ,21 ,68 ,226 204 276 ,314 ,273 ,348 ,335 236 ,174 ,44 
Cerro Navia& ,142465 ,5581 ,3917.5 ,194 ,136.2 ,394 ,276.6 ,391 ,274.5 ,0 2 10 ,16 ,15 ,14 37 ,50 ,108 ,268 570 682 ,724 ,754 ,761 ,636 540 ,298 ,96 
Colina& ,180353 ,4096 ,2271.1 ,86 ,47.7 ,323 ,179.1 ,320 ,177.4 ,1 3 7 ,28 ,16 ,25 18 ,22 ,36 ,134 370 537 ,609 ,615 ,604 ,416 332 ,242 ,81 
Conchali& ,139195 ,5402 ,3880.9 ,175 ,125.7 ,402 ,288.8 ,402 ,288.8 ,0 2 2 ,17 ,14 ,19 40 ,73 ,133 ,380 632 713 ,666 ,644 ,647 ,558 460 ,304 ,98 
Curacavi ,36430 ,739 ,2028.5 ,11 ,30.2 ,78 ,214.1 ,78 ,214.1 ,0 0 1 ,3 ,5 ,5 4 ,1 ,4 ,18 40 70 ,95 ,139 ,105 ,102 69 ,55 ,23 
El Bosque ,172000 ,5393 ,3135.5 ,155 ,90.1 ,545 ,316.9 ,537 ,312.2 ,0 0 1 ,14 ,23 ,34 52 ,47 ,88 ,223 404 552 ,549 ,748 ,840 ,716 557 ,428 ,117 
EI Monte& ,40014 ,931 ,2326.7 ,30 ,75.0 ,130 ,324.9 ,129 ,322.4 ,0 0 1 ,1 ,1 ,7 4 ,3 ,7 ,17 39 74 ,142 ,101 ,124 ,128 152 ,96 ,34 
Estacion Central& ,206792 ,5495 ,2657.3 ,113 ,54.6 ,393 ,190.0 ,393 ,190.0 ,0 2 3 ,11 ,28 ,34 40 ,82 ,170 ,378 567 670 ,675 ,740 ,698 ,565 439 ,300 ,93 
Huechuraba ,112528 ,3291 ,2924.6 ,113 ,100.4 ,205 ,182.2 ,204 ,181.3 ,O 0 5 ,21 ,10 ,19 20 ,34 ,57 ,201 372 500 ,450 ,421 ,390 ,284 302 ,157 ,48 
Independencia& ,142065 ,5782 ,4070.0 ,192 ,135.1 ,262 ,184.4 ,262 ,184.4 ,0 0 4 ,16 ,10 ,26 50 ,146 ,308 ,570 786 773 ,766 ,729 ,568 ,444 324 ,195 ,67 
Isla de Maipo ,40171 ,598 ,1488.6 ,13 ,32.4 ,94 ,234.0 ,94 ,234.0 ,0 0 0 ,2 ,1 ,6 2 ,0 ,4 ,13 25 37 ,70 ,89 ,98 ,81 76 ,75 ,19 
La Cisterna& ,100434 ,2785 ,2773.0 ,88 ,87.6 ,205 ,204.1 ,205 ,204.1 ,0 0 3 ,10 ,13 ,20 18 ,28 ,64 ,121 241 328 ,306 ,425 ,413 ,312 278 ,162 ,43 
La Florida ,402433 ,11966 ,2973.4 ,341 ,84.7 ,975 ,242.3 ,972 ,241.5 ,1 2 12 ,31 ,59 ,65 78 ,106 ,205 ,590 1025 1533 ,1721 ,1633 ,1679 ,1185 1066 ,777 ,198 
La Granja& ,122557 ,6229 ,5082.5 ,159 ,129.7 ,455 ,371.3 ,454 ,370.4 ,0 0 1 ,6 ,16 ,35 22 ,21 ,74 ,269 615 917 ,1024 ,802 ,816 ,636 520 ,321 ,134 
La Pintana& ,189335 ,8568 ,4525.3 ,242 ,127.8 ,617 ,325.9 ,613 ,323.8 ,1 1 3 ,10 ,21 ,35 50 ,94 ,156 ,340 721 898 ,1264 ,1362 ,1369 ,931 695 ,475 ,142 
La Reina& ,100252 ,1912 ,1907.2 ,63 ,62.8 ,174 ,173.6 ,174 ,173.6 ,0 0 12 ,15 ,12 ,18 8 ,13 ,41 ,75 125 221 ,305 ,254 ,239 ,220 180 ,125 ,49 
Lampa& ,126898 ,2962 ,2334.2 ,44 ,34.7 ,227 ,178.9 ,227 ,178.9 ,0 0 0 ,9 ,13 ,15 14 ,18 ,51 ,138 294 348 ,398 ,381 ,439 ,368 249 ,173 ,54 
Las Condes8 ,330759 ,5083 ,1536.8 ,232 ,70.1 ,344 ,104.0 ,336 ,101.6 ,1 18 60 ,128 ,69 ,42 37 ,34 ,73 ,242 490 693 ,749 ,680 ,566 ,492 364 ,255 ,89 
Lo Barnechea ,124076 ,2775 ,2236.5 ,54 ,43.5 ,121 ,97.5 ,120 ,96.7 ,0 2 14 ,55 ,30 ,23 37 ,40 ,66 ,154 265 400 ,413 ,363 ,361 ,304 127 ,94 ,27 
,,,,,,,,,,,,,,,,,,,,,,
