,,,,,,,,,NumerodeCasos,segunFechadeInicio,deSintomas.,NotificacionoToma,deMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 ,SE SE 26 27 
Alto Biobio& ,6775 ,157 ,2317.3 ,0 ,0.0 ,8 ,118.1 ,8 ,118.1 ,0 0 0 0 ,0 0 ,0 0 0 0 ,0 7 ,43 ,51 27 ,11 10 ,2 6 
Antuco ,4306 ,47 ,1091.5 ,O ,0.0 ,10 ,232.2 ,10 ,232.2 ,0 0 O 0 ,0 0 ,0 0 0 0 ,2 2 ,1 ,13 2 ,5 12 ,4 6 
Arauco ,38679 ,272 ,703.2 ,1 ,2.6 ,83 ,214.6 ,83 ,214.6 ,0 0 1 2 ,2 1 ,0 0 0 5 ,4 14 ,17 ,24 22 ,32 65 ,62 21 
Cabrero ,30725 ,118 ,384.1 ,0 ,0.0 ,21 ,68.3 ,21 ,68.3 ,0 0 0 1 ,0 4 ,3 7 1 3 ,4 2 ,3 ,3 8 ,23 35 ,16 5 
Canete ,37003 ,34 ,91.9 ,0 ,0.0 ,5 ,13.5 ,5 ,13.5 ,0 0 0 O ,O 0 ,0 0 0 0 ,0 1 ,9 ,4 7 ,1 7 ,4 1 
Chiguayante ,91180 ,354 ,388.2 ,8 ,8.8 ,75 ,82.3 ,75 ,82.3 ,0 0 5 5 ,9 16 ,11 10 12 8 ,7 9 ,9 ,26 40 ,60 52 ,48 27 
Concepcion& ,238092 ,1256 ,527.5 ,23 ,9.7 ,220 ,92.4 ,219 ,92.0 ,1 1 7 28 ,30 23 ,22 18 14 19 ,19 21 ,92 ,99 133 ,251 258 ,165 55 
Contulmo ,6330 ,42 ,663.5 ,0 ,0.0 ,29 ,458.1 ,29 ,458.1 ,0 0 0 0 ,0 0 ,0 0 0 0 ,0 0 ,1 ,1 0 ,0 11 ,28 1 
Coronel& ,125829 ,955 ,759.0 ,3 ,2.4 ,235 ,186.8 ,235 ,186.8 ,0 O 1 6 ,7 4 ,1 0 5 2 ,14 16 ,50 ,130 111 ,153 220 ,162 73 
Curanilahue ,33892 ,63 ,185.9 ,1 ,3.0 ,15 ,44.3 ,15 ,44.3 ,0 O O 1 ,0 0 ,0 O 0 1 ,3 0 ,2 ,4 11 ,9 17 ,12 3 
Florida ,11841 ,34 ,287.1 ,2 ,16.9 ,13 ,109.8 ,13 ,109.8 ,0 0 0 0 ,2 1 ,0 0 0 0 ,2 0 ,2 ,0 0 ,7 7 ,11 2 
Hualpen& ,97273 ,498 ,512.0 ,3 ,3.1 ,136 ,139.8 ,136 ,139.8 ,0 0 3 23 ,33 27 ,17 8 2 6 ,11 9 ,17 ,30 24 ,69 83 ,100 36 
Hualqui ,26201 ,156 ,595.4 ,3 ,11.4 ,41 ,156.5 ,41 ,156.5 ,0 0 1 1 ,2 3 ,4 9 0 1 ,2 5 ,12 ,7 13 ,17 38 ,30 11 
Laja& ,23873 ,128 ,536.2 ,0 ,0.0 ,31 ,129.9 ,31 ,129.9 ,0 1 1 O ,3 1 ,1 1 5 1 ,17 20 ,8 ,7 6 ,10 15 ,20 11 
Lebu ,27100 ,30 ,110.7 ,0 ,0.0 ,3 ,11.1 ,3 ,11.1 ,0 0 0 O ,0 0 ,0 0 0 1 ,1 0 ,0 ,6 6 ,5 8 ,3 0 
Los Alamos ,22524 ,85 ,377.4 ,0 ,0.0 ,33 ,146.5 ,33 ,146.5 ,0 0 0 0 ,0 0 ,1 0 0 1 ,O 1 ,O ,3 4 ,4 38 ,27 6 
Los Angeles& ,218515 ,815 ,373.0 ,3 ,1.4 ,208 ,95.2 ,207 ,94.7 ,0 0 3 6 ,9 6 ,5 4 0 4 ,32 64 ,90 ,78 86 ,86 134 ,153 55 
Lota ,45750 ,288 ,629.5 ,2 ,4.4 ,92 ,201.1 ,92 ,201.1 ,0 0 O 1 ,0 1 ,0 0 0 1 ,16 10 ,15 ,21 22 ,43 66 ,62 30 
Mulchen ,31041 ,72 ,232.0 ,0 ,0.0 ,31 ,99.9 ,31 ,99.9 ,0 0 0 1 ,4 0 ,0 0 0 2 ,3 1 ,1 ,11 3 ,3 12 ,25 6 
Nacimiento& ,27944 ,133 ,476.0 ,3 ,10.7 ,36 ,128.8 ,36 ,128.8 ,0 0 0 2 ,3 3 ,2 0 1 3 ,8 4 ,8 ,7 6 ,20 30 ,26 10 
