,,primeros
22-02-20 ,O ,1 
23-02-20 ,O ,1 
24-02-20 ,O ,2 
25-02-20 ,O ,11 
26-02-20 ,O ,2 
27-02-20 ,O ,3 
28-02-20 ,1 ,4 
29-02-20 ,0 ,O 
01-03-20 ,0 ,9 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,8 
05-03-20 ,4 ,31 
06-03-20 ,2 ,14 
07-03-20 ,2 ,13 
08-03-20 ,6 ,24 
09-03-20 ,2 ,35 
10-03-20 ,11 ,64 
11-03-20 ,18 ,52 
12-03-20 ,13 ,70 
13-03-20 ,24 ,118 
14-03-20 ,46 ,150 
15-03-20 ,53 ,180 
16-03-20 ,85 ,281 
17-03-20 ,151 ,257 
18-03-20 ,112 ,273 
19-03-20 ,153 ,298 
20-03-20 ,178 ,362 
21-03-20 ,166 ,312 
22-03-20 ,158 ,306 
23-03-20 ,217 ,397 
24-03-20 ,287 ,334 
25-03-20 ,361 ,348 
26-03-20 ,380 ,350 
27-03-20 ,391 ,361 
28-03-20 ,283 ,325 
29-03-20 ,306 ,294 
30-03-20 ,380 ,395 
31-03-20 ,366 ,344 
01-04-20 ,358 ,485 
02-04-20 ,454 ,396 
03-04-20 ,429 ,399 
04-04-20 ,336 ,392 
05-04-20 ,254 ,358 
06-04-20 ,510 ,471 
07-04-20 ,542 ,431 
08-04-20 ,485 ,413 
09-04-20 ,476 ,468 
10-04-20 ,274 ,479 
11-04-20 ,320 ,373 
