Regionderesidencia,Defunciones,Tasaobservada,Tasa,,ajustada
Chile ,7057 ,36.3 ,,,
De Arica Y Parinacota ,24 ,9.5 ,,,
De Tarapaca ,114 ,29.8 ,,,
De Antofagasta ,196 ,28.3 ,,,
De Atacama ,4 ,1.3 ,,,
De Coquimbo ,31 ,3.7 ,,,
De Valparaiso ,318 ,16.2 ,,,
Metropolitana de Santiago ,5940 ,73.1 ,,,
Del Libertador Gral Bernardo O Higgins ,112 ,11.3 ,,,
Del Maule ,78 ,6.9 ,,,
De Nuble ,41 ,8.0 ,,,
Del Biobio ,72 ,4.3 ,,,
De La Araucania ,67 ,6.6 ,,,
De Los Rios ,11 ,2.7 ,,,
De Los Lagos ,24 ,2.7 ,,,
De Aisen Del Gral C Ibanez Del Campo ,1 ,0.9 ,,,
De Magallanes y de La Antartica Chilena ,23 ,12.9 ,,,
Ignorada ,1 ,- ,,,
