ZonadeChile,Poblacion,NumerodeCasosAcumulados,Tasaincidenciaacumulada,NumerodeCasosActivos,TasadeCasosActivos
Region de Arica y Parinacota ,252110 ,2153 ,854.0 ,496 ,196.7 
Region de Tarapaca ,382773 ,6662 ,1740.5 ,827 ,216.1 
Region de Antofagasta ,691854 ,10555 ,1525.6 ,2019 ,291.8 
Region de Atacama ,314709 ,1319 ,419.1 ,369 ,117.3 
Region de Coquimbo ,836096 ,3903 ,466.8 ,844 ,100.9 
Region de Valparaiso ,1960170 ,16860 ,860.1 ,3099 ,158.1 
Region Metropolitana de Santiago ,8125072 ,254025 ,3126.4 ,21017 ,258.7 
Region del Libertador General Bernardo OHiggins ,991063 ,8514 ,859.1 ,2457 ,247.9 
Region del Maule ,1131939 ,6767 ,597.8 ,1424 ,125.8 
Region del Nuble ,511551 ,3132 ,612.3 ,495 ,96.8 
Region del Biobio ,1663696 ,8288 ,498.2 ,1943 ,116.8 
Region de la Araucania ,1014343 ,3444 ,339.5 ,305 ,30.1 
Region de Los Rios ,405835 ,786 ,193.7 ,97 ,23.9 
Region de Los Lagos ,891440 ,2054 ,230.4 ,498 ,55.9 
Region de Aysen del General Carlos Ibanez del Campo ,107297 ,46 ,42.9 ,14 ,13.0 
Region de Magallanes y la Antartica Chilena ,178362 ,1506 ,844.4 ,104 ,58.3 
Desconocido ,- ,169 ,- ,2 ,- 
Total pais ,19458310 ,330183 ,1696.9 ,36010 ,185.1 
