,,,,,,,,,NumerodeCasos,segunFechadeIniciode,Sintomas.,Notificaciono,TomadeMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE SE 22 23 24 ,SE 25 ,SE SE 26 27 
Antofagasta& ,425725 ,4620 ,1085.2 ,63 ,14.8 ,909 ,213.5 ,905 ,212.6 ,0 1 2 28 31 41 ,61 109 ,161 216 ,310 313 ,304 355 ,494 597 ,688 ,674 235 
Calama& ,190336 ,4667 ,2452.0 ,117 ,61.5 ,819 ,430.3 ,814 ,427.7 ,1 0 2 3 3 8 ,17 17 ,40 54 ,91 235 ,283 441 ,810 975 ,868 ,616 203 
Maria Elena ,6814 ,264 ,3874.4 ,6 ,88.1 ,31 ,454.9 ,30 ,440.3 ,1 0 O O 0 0 ,5 9 ,16 45 ,42 30 ,13 ,13 11 7 ,41 ,23 8 
Mejillones ,14776 ,408 ,2761.2 ,4 ,27.1 ,61 ,412.8 ,61 ,412.8 ,O 0 0 0 1 8 ,15 18 ,30 76 ,45 51 ,19 ,19 10 17 ,38 ,49 12 
Ollague ,287 ,9 ,3135.9 ,0 ,0.0 ,2 ,696.9 ,2 ,696.9 ,0 0 0 O 0 0 ,0 0 ,0 0 ,0 O ,O ,0 0 2 ,5 ,0 2 
San Pedro de Atacama ,10434 ,126 ,1207.6 ,2 ,19.2 ,40 ,383.4 ,40 ,383.4 ,0 O 0 2 1 1 ,0 0 ,1 0 ,0 2 ,4 ,4 18 21 ,32 ,30 10 
Sierra Gorda ,1746 ,49 ,2806.4 ,0 ,0.0 ,4 ,229.1 ,4 ,229.1 ,0 0 O 0 0 0 ,0 O ,0 3 ,5 5 ,3 ,12 6 8 ,3 ,3 1 
Taltal ,13657 ,78 ,571.1 ,2 ,14.6 ,11 ,80.5 ,11 ,80.5 ,0 0 0 0 0 2 ,3 2 ,1 1 ,3 12 ,6 ,9 7 9 ,12 ,7 4 
Tocopilla& ,28079 ,195 ,694.5 ,4 ,14.2 ,74 ,263.5 ,74 ,263.5 ,0 0 O 2 0 4 ,5 0 ,1 2 ,7 8 ,8 ,4 6 25 ,49 ,56 18 
Desconocido& ,- ,139 ,- ,0 ,,78 ,- ,78 ,,0 0 O 0 0 O ,0 O ,4 0 ,0 1 ,0 ,O 4 12 ,40 ,36 42 
Total ,691854 ,10555 ,1525.6 ,198 ,28.6 ,2029 ,293.3 ,2019 ,291.8 ,2 1 4 35 36 64 ,106 155 ,254 397 ,503 657 ,640 857 ,1366 1673 ,1776 ,1494 535 
