,,,,,,,NumerodeCasos,segun,Fechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE ,SE SE SE ,SE SE ,SE ,SE SE SE ,SE ,SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Actuales ,Actual ,Activos ,Activos ,9 10 ,11 12 13 ,14 15 ,16 ,17 18 19 ,20 ,21 ,22 ,23 24 
Algarrobo & ,15174 ,57 ,375.6 ,12 ,79.1 ,12 ,79.1 ,0 O ,1 4 4 ,0 O ,0 ,2 4 6 ,13 ,11 ,7 ,5 0 
Cabildo ,20663 ,32 ,154.9 ,9 ,43.6 ,9 ,43.6 ,O 0 ,O O O ,O O ,O ,5 3 2 ,6 ,4 ,10 ,2 O 
Calera ,53591 ,94 ,175.4 ,21 ,39.2 ,21 ,39.2 ,O 0 ,0 1 6 ,2 4 ,7 ,2 2 7 ,17 ,21 ,16 ,9 0 
Calle Larga ,16482 ,81 ,491.4 ,29 ,175.9 ,29 ,175.9 ,1 O ,O O O ,2 3 ,1 ,O 4 3 ,8 ,28 ,22 ,9 0 
Cartagena ,25357 ,61 ,240.6 ,12 ,47.3 ,12 ,47.3 ,O O ,O O O ,2 O ,1 ,5 5 12 ,7 ,15 ,11 ,3 0 
Casablanca' ,29170 ,43 ,147.4 ,13 ,44.6 ,13 ,44.6 ,O O ,O 2 O ,1 1 ,0 ,O O 9 ,8 ,9 ,7 ,6 0 
Catemu ,15213 ,27 ,177.5 ,15 ,98.6 ,15 ,98.6 ,O O ,O O O ,O O ,O ,O 1 1 ,7 ,2 ,12 ,4 O 
Con Con & ,45889 ,90 ,196.1 ,20 ,43.6 ,20 ,43.6 ,0 0 ,0 2 6 ,1 1 ,0 ,9 6 9 ,16 ,17 ,15 ,8 0 
EI Quisco ,17742 ,69 ,388.9 ,12 ,67.6 ,12 ,67.6 ,O O ,O 1 O ,4 2 ,4 ,O 5 9 ,13 ,14 ,16 ,1 0 
EI Tabo ,14338 ,70 ,488.2 ,23 ,160.4 ,23 ,160.4 ,O O ,O O 5 ,O 2 ,3 ,3 4 7 ,6 ,15 ,17 ,8 O 
Hijuelas ,19099 ,33 ,172.8 ,9 ,47.1 ,9 ,47.1 ,O O ,O O O ,O 1 ,O ,O O 0 ,7 ,10 ,14 ,1 0 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,0 0 ,0 2 1 ,2 0 ,0 ,0 0 0 ,0 ,0 ,O ,O 0 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O ,O O O ,O O ,O ,0 O 0 ,O ,O ,O ,O O 
La Cruz ,25321 ,36 ,142.2 ,8 ,31.6 ,8 ,31.6 ,O 1 ,O 1 2 ,3 1 ,O ,1 7 6 ,3 ,3 ,7 ,1 O 
La Ligua & ,37739 ,46 ,121.9 ,22 ,58.3 ,22 ,58.3 ,O O ,0 1 0 ,1 0 ,0 ,0 1 0 ,9 ,10 ,21 ,3 0 
Limache' & ,49931 ,146 ,292.4 ,35 ,70.1 ,35 ,70.1 ,0 O ,O 2 O ,5 9 ,6 ,1 7 23 ,31 ,21 ,30 ,10 1 
Llaillay ,26533 ,85 ,320.4 ,24 ,90.5 ,23 ,86.7 ,O O ,O 1 1 ,O O ,O ,1 2 5 ,27 ,22 ,16 ,10 O 
"Los Andes"" ",68093 ,273 ,400.9 ,95 ,139.5 ,94 ,138.0 ,O O ,O 2 2 ,O 3 ,O ,2 8 19 ,54 ,76 ,70 ,37 0 
Nogales ,23490 ,25 ,106.4 ,7 ,29.8 ,7 ,29.8 ,0 0 ,O 0 O ,0 O ,0 ,0 2 4 ,6 ,6 ,5 ,2 0 
