,,,,OO0O,0,0,OOOO,02,2,O00
15.8 ,1 ,,15.8 ,O O 0 O ,0 ,0 ,O O O O ,0 2 ,O ,1 O O 
,,,,O O O O ,O ,O ,O O O O ,O 2 ,6 ,1 O O 
,,,,O O O O ,1 ,O ,O O O 2 ,2 2 ,1 ,O O O 
,,,,O 0 O 0 ,0 ,O ,O O 0 1 ,2 8 ,1 ,O O 0 
,,,,O 0 0 0 ,0 ,O ,O O O 2 ,1 3 ,6 ,2 0 O 
54.6 ,5 ,,54.6 ,O O O O ,1 ,O ,O O O O ,1 4 ,2 ,5 O 0 
,,,,O O O O ,O ,O ,O O O O ,O O ,O ,1 O O 
0.0 ,0 ,,0.0 ,O 0 O 1 ,O ,O ,0 O O O ,O 1 ,1 ,1 0 O 
,,,,1 O O 8 ,4 ,6 ,3 7 10 25 ,77 145 ,130 ,94 37 0 
,,,,O O O 1 ,1 ,O ,O 4 5 2 ,6 15 ,12 ,5 O O 
,,,,O O O 2 ,O ,O ,O O 2 O ,4 5 ,9 ,10 4 O 
,,,,O O O 2 ,1 ,1 ,O O O 2 ,7 8 ,13 ,13 10 0 
4.0 ,2 ,,4.0 ,O O O O ,3 ,1 ,O O 3 3 ,15 22 ,3 ,O 2 0 
,,,,0 0 0 O ,1 ,O ,0 1 1 O ,5 3 ,4 ,5 2 0 
24.6 ,242 ,,24.4 ,1 0 1 20 ,15 ,10 ,10 17 42 62 ,199 340 ,284 ,202 77 0 
