,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE SE 18 19 20 ,SE 21 ,SE SE SE 22 23 24 
Ancud ,42458 ,86 ,202.6 ,2 ,4.7 ,2 ,4.7 ,O O 0 O ,1 ,O 6 ,3 1 ,21 19 23 ,10 ,0 2 0 
Calbuco ,36744 ,8 ,21.8 ,O ,0.0 ,O ,0.0 ,O O O 3 ,1 ,1 1 ,1 0 ,0 1 O ,O ,O O 0 
Castro ,47607 ,8 ,16.8 ,O ,0.0 ,O ,0.0 ,O O O 2 ,O ,5 O ,O 0 ,O 1 0 ,O ,O 0 0 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O O ,1 ,O O ,O 0 ,0 O 0 ,O ,O O O 
Chonchi ,16013 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,O ,O O ,0 0 ,0 0 0 ,0 ,O 0 0 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O 1 ,O O ,O 0 0 ,O ,O O O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O 0 ,O O O ,O ,O O O 
Dalcahue ,15069 ,6 ,39.8 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,0 0 ,0 1 3 ,2 ,O 0 0 
Fresia ,12656 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 0 ,0 ,O O ,0 O ,0 0 0 ,O ,O 0 0 
Frutillar ,20223 ,12 ,59.3 ,1 ,4.9 ,1 ,4.9 ,O O O O ,1 ,3 2 ,O O ,O 1 O ,3 ,2 O O 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O 0 ,O 0 1 ,O ,O O 0 
Hualaihue ,9525 ,4 ,42.0 ,1 ,10.5 ,1 ,10.5 ,0 O 0 0 ,3 ,0 O ,0 0 ,0 0 O ,O ,1 0 0 
Llanquihue ,18621 ,6 ,32.2 ,O ,0.0 ,0 ,0.0 ,O 0 0 0 ,1 ,O O ,0 0 ,0 5 0 ,O ,O O 0 
Los Muermos ,17817 ,2 ,11.2 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O ,O O ,O O ,O 1 O ,O ,O O O 
Maullin ,14894 ,15 ,100.7 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,O 1 ,0 0 ,0 0 5 ,9 ,O O 0 
Osorno ,173410 ,399 ,230.1 ,37 ,21.3 ,37 ,21.3 ,O 0 3 58 ,104 ,65 36 ,18 15 ,19 14 9 ,18 ,30 10 0 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O 0 ,O ,O O ,O O ,0 0 O ,O ,O O O 
Puerto Montt & ,269398 ,213 ,79.1 ,77 ,28.6 ,77 ,28.6 ,O 1 1 13 ,18 ,11 3 ,5 0 ,1 7 17 ,53 ,54 29 O 
Puerto Octay ,9192 ,5 ,54.4 ,0 ,0.0 ,O ,0.0 ,O O 0 1 ,O ,O O ,1 1 ,0 2 O ,O ,O 0 0 
