Varas,48620,37,76.1,17,35.0,17,,35.0,OO1O,2,32,00,004,,78100
,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,,0.0 ,O O 0 O ,O ,0 O ,0 0 ,0 O 0 ,,O 0 O O 
,21080 ,68 ,322.6 ,15 ,71.2 ,15 ,,71.2 ,O O O O ,3 ,12 5 ,1 2 ,3 1 5 ,,13 21 2 O 
,11787 ,11 ,93.3 ,1 ,8.5 ,1 ,,8.5 ,O O O 1 ,1 ,1 1 ,1 1 ,2 O 1 ,,1 1 O O 
,5543 ,0 ,0.0 ,0 ,0.0 ,O ,,0.0 ,O 0 O 0 ,O ,0 O ,0 0 ,O O O ,,O O O 0 
,29309 ,1 ,3.4 ,0 ,0.0 ,0 ,,0.0 ,O 0 0 O ,O ,O O ,0 0 ,1 O O ,,O 0 0 O 
,8783 ,14 ,159.4 ,6 ,68.3 ,6 ,,68.3 ,O O O O ,O ,O O ,O 0 ,0 O 2 ,,5 7 O O 
,8298 ,1 ,12.1 ,0 ,0.0 ,O ,,0.0 ,O O O O ,1 ,O O ,O 0 ,0 O O ,,O O O O 
Negro ,14275 ,32 ,224.2 ,1 ,7.0 ,1 ,,7.0 ,O 0 O 0 ,2 ,3 O ,4 6 ,1 4 5 ,,4 3 O O 
Juan de la Costa ,7639 ,34 ,445.1 ,0 ,0.0 ,O ,,0.0 ,O O O 0 ,1 ,9 2 ,6 7 ,2 5 2 ,,O O O O 
Pablo ,10553 ,12 ,113.7 ,0 ,0.0 ,0 ,,0.0 ,O O O O ,2 ,4 O ,3 O ,0 O 2 ,,1 O O O 
,891440 ,977 ,109.6 ,158 ,17.7 ,158 ,,17.7 ,0 1 5 79 ,142 ,117 60 ,43 33 ,50 62 79 ,,126 127 53 0 
