,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
SEREM De Arica y Parinacota ,O ,0 O 0 O O 0 O 0 O 0 0 O 0 0 0 
SEREM De Tarapaca ,0 ,0 O 0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREM De Antofagasta ,O ,0 O 0 0 0 0 0 0 O 0 0 O 0 0 0 
SEREM De Atacama ,O ,0 O 0 0 O 0 O 0 0 0 0 O 0 0 0 
SEREM De Coquimbo ,O ,0 O 0 0 O 0 0 0 0 0 0 O 0 0 0 
SEREMI De Valparaiso ,2 ,0 O 0 0 1 O 0 0 O 0 O O 0 1 0 
SEREM Metropolitana de Santiago ,14 ,0 0 1 0 0 0 O 1 1 1 2 2 2 3 1 
SEREMI Del Libertador Gral B OHiggins ,O ,0 O 0 0 0 0 0 0 0 0 0 O 0 0 0 
SEREMI De Maule ,O ,0 O 0 O 0 0 O 0 0 0 0 O 0 0 0 
SEREM Del Nuble ,O ,0 O 0 0 0 0 0 0 O 0 0 O 0 0 0 
SEREM De Biobio ,O ,0 0 0 0 0 0 O 0 0 0 O O 0 0 0 
SEREM De La Araucania ,0 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
SEREM De Los Rios ,O ,O O 0 0 0 0 0 0 O 0 0 0 0 0 0 
SEREM De Los Lagos ,21 ,0 O 9 10 1 1 O 0 O 0 0 O O 0 0 
SEREM De Aisen del General Carlos lbanez del Campo ,1 ,0 O 1 0 0 0 0 0 0 0 0 O 0 0 0 
SEREM De Magallanes y la Antartica Chilena ,O ,0 O 0 0 O 0 0 0 O 0 0 O 0 0 0 
Total pais ,38 ,0 0 11 10 2 1 0 1 1 1 2 2 2 4 1 
