,,,,,,,,,,Numero,deCasos,segunFecha,,deInicio,deSintomas,,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE 15 ,SE 16 ,SE 17 ,SE 18 ,SE 19 ,SE 20 ,SE 21 ,SE 22 ,SE SE 23 24 
Alhue& ,7405 ,16 ,216.1 ,0 ,0.0 ,5 ,67.5 ,5 ,67.5 ,O O 0 0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,4 ,5 ,2 0 
Buin& ,109641 ,978 ,892.0 ,24 ,21.9 ,216 ,197.0 ,215 ,196.1 ,O O O 5 ,17 ,9 ,14 ,17 ,18 ,60 ,131 ,178 ,213 ,156 ,140 20 
Calera de Tango& ,28525 ,186 ,652.1 ,0 ,0.0 ,47 ,164.8 ,46 ,161.3 ,O O O 4 ,4 ,1 ,1 ,5 ,1 ,6 ,18 ,29 ,29 ,52 ,33 3 
Cerrillos& ,88956 ,1410 ,1585.1 ,19 ,21.4 ,172 ,193.4 ,171 ,192.2 ,1 1 1 5 ,10 ,14 ,20 ,21 ,63 ,215 ,199 ,262 ,291 ,186 ,113 8 
Cerro Navia& ,142465 ,2576 ,1808.2 ,77 ,54.0 ,316 ,221.8 ,312 ,219.0 ,0 O 10 13 ,13 ,13 ,37 ,44 ,87 ,241 ,506 ,550 ,412 ,429 ,206 15 
Colina8 ,180353 ,2267 ,1257.0 ,31 ,17.2 ,418 ,231.8 ,416 ,230.7 ,1 4 6 28 ,16 ,19 ,16 ,20 ,33 ,125 ,331 ,460 ,473 ,424 ,290 21 
Conchali8 ,139195 ,2855 ,2051.1 ,69 ,49.6 ,371 ,266.5 ,367 ,263.7 ,0 1 1 16 ,12 ,18 ,35 ,68 ,126 ,347 ,542 ,574 ,440 ,407 ,242 26 
Curacavi8 ,36430 ,444 ,1218.8 ,4 ,11.0 ,108 ,296.5 ,108 ,296.5 ,1 O 1 2 ,4 ,4 ,4 ,0 ,4 ,18 ,40 ,67 ,93 ,122 ,74 10 
EI Bosque& ,172000 ,2784 ,1618.6 ,47 ,27.3 ,522 ,303.5 ,517 ,300.6 ,0 1 2 14 ,21 ,29 ,48 ,45 ,82 ,210 ,375 ,525 ,488 ,587 ,333 24 
EI Monte8 ,40014 ,317 ,792.2 ,6 ,15.0 ,56 ,140.0 ,56 ,140.0 ,0 0 1 1 ,1 ,7 ,4 ,2 ,8 ,15 ,38 ,61 ,87 ,50 ,38 4 
Estacion Central& ,206792 ,3333 ,1611.8 ,41 ,19.8 ,454 ,219.5 ,451 ,218.1 ,0 2 3 12 ,27 ,33 ,40 ,77 ,164 ,351 ,534 ,623 ,586 ,572 ,296 13 
Huechuraba ,112528 ,1827 ,1623.6 ,52 ,46.2 ,246 ,218.6 ,246 ,218.6 ,0 0 5 18 ,9 ,16 ,17 ,31 ,54 ,184 ,333 ,443 ,310 ,234 ,163 10 
Independencia& ,142065 ,4056 ,2855.0 ,111 ,78.1 ,438 ,308.3 ,434 ,305.5 ,0 1 5 15 ,9 ,24 ,45 ,143 ,297 ,523 ,700 ,714 ,690 ,593 ,275 22 
Isla de Maipo& ,40171 ,174 ,433.1 ,6 ,14.9 ,28 ,69.7 ,28 ,69.7 ,0 0 0 2 ,1 ,6 ,2 ,0 ,4 ,9 ,20 ,26 ,40 ,45 ,19 0 
La Cisterna& ,100434 ,1671 ,1663.8 ,32 ,31.9 ,346 ,344.5 ,342 ,340.5 ,1 O 1 10 ,13 ,17 ,18 ,24 ,60 ,115 ,221 ,312 ,282 ,349 ,217 31 
La Florida ,402433 ,6879 ,1709.4 ,157 ,39.0 ,1178 ,292.7 ,1169 ,290.5 ,1 3 12 28 ,57 ,60 ,67 ,96 ,183 ,530 ,928 ,1397 ,1479 ,1241 ,765 32 
La Granja ,122557 ,3651 ,2979.0 ,72 ,58.7 ,523 ,426.7 ,515 ,420.2 ,0 1 1 7 ,13 ,31 ,20 ,18 ,66 ,252 ,571 ,853 ,880 ,610 ,320 8 
La Pintana& ,189335 ,4674 ,2468.6 ,78 ,41.2 ,756 ,399.3 ,748 ,395.1 ,1 0 3 9 ,18 ,30 ,45 ,87 ,147 ,297 ,607 ,823 ,1071 ,1069 ,450 17 
La Reina& ,100252 ,1110 ,1107.2 ,28 ,27.9 ,165 ,164.6 ,164 ,163.6 ,0 0 12 14 ,13 ,16 ,8 ,11 ,37 ,73 ,120 ,213 ,282 ,206 ,98 7 
Lampa ,126898 ,1437 ,1132.4 ,18 ,14.2 ,211 ,166.3 ,210 ,165.5 ,0 0 O 8 ,13 ,15 ,12 ,18 ,40 ,118 ,263 ,293 ,273 ,222 ,150 12 
