LasCondes&,330759,3370,1018.9,94,28.4,508,153.6,505,152.7,01958,12166,37,352866,225,460,648,688,568,32327
Lo Barnechea& ,124076 ,1657 ,1335.5 ,19 ,15.3 ,231 ,186.2 ,229 ,184.6 ,0 2 14 ,53 27 ,18 ,36 36 64 ,137 ,242 ,316 ,319 ,218 ,132 43 
Lo Espejo& ,103865 ,2103 ,2024.7 ,55 ,53.0 ,439 ,422.7 ,437 ,420.7 ,O O 1 ,5 8 ,24 ,28 22 58 ,159 ,327 ,413 ,335 ,413 ,296 14 
Lo Prado& ,104403 ,1810 ,1733.7 ,45 ,43.1 ,205 ,196.4 ,202 ,193.5 ,O 2 3 ,5 19 ,14 ,21 29 100 ,179 ,321 ,397 ,289 ,288 ,133 10 
Macul& ,134635 ,2473 ,1836.8 ,48 ,35.7 ,381 ,283.0 ,379 ,281.5 ,O 1 3 ,16 21 ,17 ,14 20 77 ,178 ,412 ,503 ,533 ,413 ,254 11 
Maipu ,578605 ,6272 ,1084.0 ,113 ,19.5 ,1047 ,181.0 ,1041 ,179.9 ,0 1 13 ,49 71 ,78 ,88 115 145 ,391 ,826 ,1208 ,1345 ,1239 ,664 39 
Maria Pinto ,14926 ,97 ,649.9 ,1 ,6.7 ,4 ,26.8 ,4 ,26.8 ,O O O ,O 0 ,O ,1 O 2 ,1 ,16 ,22 ,26 ,29 ,0 O 
Melipilla ,141612 ,1286 ,908.1 ,24 ,16.9 ,363 ,256.3 ,360 ,254.2 ,O 1 1 ,5 5 ,5 ,8 22 33 ,78 ,94 ,175 ,260 ,325 ,249 25 
Nunoa& ,250192 ,2955 ,1181.1 ,65 ,26.0 ,546 ,218.2 ,540 ,215.8 ,1 1 27 ,53 39 ,47 ,45 65 66 ,145 ,345 ,509 ,692 ,531 ,356 33 
Padre Hurtado& ,74188 ,692 ,932.8 ,16 ,21.6 ,112 ,151.0 ,111 ,149.6 ,O 1 O ,5 9 ,5 ,12 9 16 ,51 ,92 ,133 ,150 ,135 ,69 5 
Paine& ,82766 ,515 ,622.2 ,5 ,6.0 ,150 ,181.2 ,150 ,181.2 ,O 1 1 ,3 0 ,4 ,5 3 5 ,25 ,76 ,81 ,106 ,87 ,107 11 
Pedro Aguirre Cerda& ,107803 ,1962 ,1820.0 ,48 ,44.5 ,293 ,271.8 ,287 ,266.2 ,O O 4 ,4 15 ,23 ,45 32 71 ,162 ,340 ,391 ,319 ,369 ,183 4 
Penaflor& ,101058 ,831 ,822.3 ,21 ,20.8 ,132 ,130.6 ,131 ,129.6 ,1 1 5 ,3 9 ,5 ,9 14 26 ,43 ,98 ,164 ,198 ,165 ,83 7 
Penalolen& ,266798 ,6360 ,2383.8 ,93 ,34.9 ,1027 ,384.9 ,1020 ,382.3 ,1 3 9 ,27 34 ,39 ,51 65 119 ,381 ,898 ,1272 ,1488 ,1283 ,664 26 
Pirque& ,30433 ,418 ,1373.5 ,1 ,3.3 ,53 ,174.2 ,53 ,174.2 ,0 0 3 ,1 4 ,1 ,5 5 16 ,33 ,44 ,63 ,132 ,83 ,27 1 
Providencia& ,157749 ,1737 ,1101.1 ,53 ,33.6 ,262 ,166.1 ,258 ,163.6 ,O 3 29 ,61 20 ,22 ,30 34 35 ,91 ,228 ,296 ,364 ,359 ,152 13 
Pudahuel& ,253139 ,3906 ,1543.0 ,68 ,26.9 ,502 ,198.3 ,497 ,196.3 ,1 2 2 ,19 24 ,32 ,36 43 129 ,313 ,605 ,844 ,785 ,743 ,306 22 
Puente Alto& ,645909 ,10804 ,1672.7 ,156 ,24.2 ,1778 ,275.3 ,1769 ,273.9 ,1 2 9 ,59 98 ,166 ,186 297 345 ,774 ,1517 ,1998 ,2214 ,1920 ,1162 56 
Quilicura& ,254694 ,4591 ,1802.6 ,47 ,18.5 ,713 ,279.9 ,711 ,279.2 ,0 6 4 ,20 25 ,42 ,41 129 303 ,500 ,673 ,854 ,766 ,743 ,455 30 
Quinta Normal& ,136368 ,2511 ,1841.3 ,57 ,41.8 ,326 ,239.1 ,320 ,234.7 ,0 2 5 ,14 25 ,37 ,49 50 97 ,246 ,412 ,503 ,437 ,423 ,204 7 
Recoleta8 ,190075 ,4716 ,2481.1 ,106 ,55.8 ,461 ,242.5 ,455 ,239.4 ,O 0 5 ,14 15 ,33 ,43 105 272 ,691 ,1053 ,943 ,706 ,522 ,278 36 
Renca& ,160847 ,2884 ,1793.0 ,55 ,34.2 ,368 ,228.8 ,367 ,228.2 ,O 0 4 ,7 11 ,7 ,33 62 100 ,267 ,574 ,568 ,531 ,450 ,250 20 
San Bernardo& ,334836 ,4688 ,1400.1 ,91 ,27.2 ,850 ,253.9 ,837 ,250.0 ,1 2 6 ,20 37 ,65 ,73 120 151 ,312 ,630 ,839 ,925 ,944 ,538 25 
San Joaquin& ,103485 ,2534 ,2448.7 ,55 ,53.1 ,379 ,366.2 ,377 ,364.3 ,0 3 1 ,14 22 ,13 ,37 40 79 ,220 ,493 ,611 ,373 ,342 ,258 28 
