,,,,,,,,,Numerode,CasossegunFecha,de,Iniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE SE SE 18 19 20 21 ,SE 22 ,SE SE 23 24 
Bulnes ,22607 ,201 ,889.1 ,3 ,13.3 ,18 ,79.6 ,18 ,79.6 ,O O 0 10 ,27 ,10 7 ,7 6 ,9 23 43 26 ,18 ,14 1 
Chillan ,198624 ,767 ,386.2 ,6 ,3.0 ,140 ,70.5 ,140 ,70.5 ,O 1 28 119 ,116 ,76 33 ,25 17 ,15 20 62 58 ,70 ,95 32 
Chillan Viejo ,33827 ,126 ,372.5 ,1 ,3.0 ,24 ,70.9 ,24 ,70.9 ,0 O 5 7 ,19 ,7 14 ,3 1 ,O 4 16 22 ,6 ,16 6 
Cobquecura ,5275 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,O ,O 0 ,0 0 ,0 0 0 0 ,0 ,0 O 
Coelemu ,16845 ,35 ,207.8 ,O ,0.0 ,13 ,77.2 ,13 ,77.2 ,0 O 0 O ,2 ,2 O ,0 O ,O O 2 7 ,10 ,6 6 
Coihueco ,28375 ,61 ,215.0 ,3 ,10.6 ,8 ,28.2 ,7 ,24.7 ,0 O O 2 ,3 ,4 6 ,12 12 ,3 1 8 1 ,1 ,4 4 
EI Carmen ,12334 ,28 ,227.0 ,0 ,0.0 ,7 ,56.8 ,7 ,56.8 ,0 O 0 2 ,O ,1 O ,0 O ,0 1 3 7 ,11 ,3 O 
Ninhue ,5414 ,12 ,221.6 ,O ,0.0 ,2 ,36.9 ,2 ,36.9 ,0 0 0 0 ,O ,2 0 ,2 0 ,0 0 1 3 ,2 ,1 1 
Niquen ,11567 ,32 ,276.6 ,1 ,8.6 ,12 ,103.7 ,12 ,103.7 ,0 O O 1 ,O ,1 2 ,0 O ,1 O 4 3 ,9 ,11 O 
Pemuco ,8639 ,16 ,185.2 ,0 ,0.0 ,3 ,34.7 ,3 ,34.7 ,O O O 1 ,O ,4 1 ,0 O ,O 3 1 O ,4 ,2 O 
Pinto ,11880 ,17 ,143.1 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 2 ,3 ,5 1 ,1 0 ,0 0 3 O ,2 ,0 O 
Portezuelo ,4940 ,7 ,141.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,0 ,O 0 ,0 0 ,0 1 4 2 ,0 ,0 O 
Quillon ,18777 ,88 ,468.7 ,2 ,10.7 ,31 ,165.1 ,30 ,159.8 ,O O O 8 ,8 ,8 1 ,0 2 ,2 2 9 6 ,13 ,24 5 
Quirihue ,12192 ,23 ,188.6 ,0 ,0.0 ,2 ,16.4 ,2 ,16.4 ,0 O 0 0 ,1 ,2 0 ,1 0 ,1 7 4 1 ,4 ,1 1 
Ranquil& ,6261 ,12 ,191.7 ,0 ,0.0 ,1 ,16.0 ,1 ,16.0 ,0 O O 1 ,3 ,6 0 ,0 0 ,O 1 O O ,O ,1 O 
San Carlos ,56252 ,145 ,257.8 ,2 ,3.6 ,58 ,103.1 ,58 ,103.1 ,O 0 2 5 ,10 ,9 2 ,3 3 ,3 7 9 15 ,28 ,40 9 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 3 ,3 ,1 O ,1 0 ,O O O O ,0 ,0 O 
San Ignacio ,16624 ,45 ,270.7 ,1 ,6.0 ,16 ,96.2 ,16 ,96.2 ,0 0 0 2 ,2 ,1 O ,1 3 ,3 0 2 7 ,9 ,8 7 
San Nicolas ,12172 ,40 ,328.6 ,1 ,8.2 ,7 ,57.5 ,7 ,57.5 ,0 O 0 2 ,6 ,5 4 ,0 O ,0 2 2 6 ,8 ,4 1 
