,,,,,,,,,Numero,deCasossegunFecha,de,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de ,Tasa de Incidencia ,SE SE SE SE ,SE ,SE SE ,SE SE SE ,SE ,SE SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Casos Activos ,Activos ,9 10 11 12 ,13 ,14 15 ,16 17 18 ,19 ,20 21 ,22 ,23 24 
Alto Biobio ,6775 ,123 ,1815.5 ,O ,0.0 ,32 ,472.3 ,32 ,472.3 ,O O 0 O ,O ,O O ,O O O ,0 ,7 42 ,49 ,23 2 
Antuco ,4306 ,23 ,534.1 ,0 ,0.0 ,7 ,162.6 ,7 ,162.6 ,O O 0 O ,O ,0 O ,O O O ,2 ,2 1 ,13 ,2 3 
Arauco ,38679 ,85 ,219.8 ,1 ,2.6 ,20 ,51.7 ,19 ,49.1 ,O O 1 2 ,2 ,1 O ,O O 5 ,4 ,13 16 ,23 ,14 4 
Cabrero ,30725 ,37 ,120.4 ,O ,0.0 ,6 ,19.5 ,6 ,19.5 ,O O 0 1 ,O ,4 3 ,7 1 3 ,4 ,2 3 ,3 ,6 O 
Canete ,37003 ,21 ,56.8 ,O ,0.0 ,7 ,18.9 ,7 ,18.9 ,O O 0 O ,O ,0 O ,O O O ,O ,1 9 ,4 ,7 O 
Chiguayante& ,91180 ,149 ,163.4 ,2 ,2.2 ,35 ,38.4 ,35 ,38.4 ,O 0 5 5 ,9 ,16 11 ,10 11 8 ,6 ,8 7 ,23 ,22 8 
Concepcion& ,238092 ,464 ,194.9 ,4 ,1.7 ,118 ,49.6 ,117 ,49.1 ,1 1 6 28 ,28 ,23 21 ,18 14 19 ,19 ,19 84 ,82 ,68 33 
Contulmo ,6330 ,1 ,15.8 ,O ,0.0 ,1 ,15.8 ,1 ,15.8 ,O O 0 O ,O ,O O ,O O O ,O ,0 0 ,1 ,0 O 
Coronel ,125829 ,275 ,218.6 ,0 ,0.0 ,97 ,77.1 ,97 ,77.1 ,O O 1 6 ,6 ,4 1 ,O 5 2 ,14 ,14 49 ,104 ,56 13 
Curanilahue ,33892 ,22 ,64.9 ,0 ,0.0 ,12 ,35.4 ,12 ,35.4 ,O O 0 1 ,O ,O O ,O O 1 ,3 ,0 2 ,4 ,8 3 
Florida& ,11841 ,6 ,50.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,2 ,1 O ,O O O ,2 ,O 1 ,O ,O O 
Hualpen ,97273 ,199 ,204.6 ,2 ,2.1 ,31 ,31.9 ,31 ,31.9 ,O O 3 24 ,33 ,26 17 ,8 2 5 ,11 ,9 14 ,29 ,12 6 
Hualqui ,26201 ,53 ,202.3 ,0 ,0.0 ,8 ,30.5 ,8 ,30.5 ,O O 1 1 ,2 ,3 4 ,9 O 1 ,2 ,4 12 ,7 ,7 0 
Laja ,23873 ,72 ,301.6 ,O ,0.0 ,8 ,33.5 ,8 ,33.5 ,O 1 1 O ,3 ,1 1 ,1 5 1 ,17 ,20 8 ,7 ,5 1 
Lebu ,27100 ,9 ,33.2 ,O ,0.0 ,2 ,7.4 ,2 ,7.4 ,O O O O ,O ,O O ,O O 1 ,1 ,O O ,6 ,1 O 
Los Alamos ,22524 ,5 ,22.2 ,0 ,0.0 ,2 ,8.9 ,2 ,8.9 ,O O 0 0 ,O ,0 1 ,O O 0 ,0 ,1 0 ,1 ,2 0 
Los Angeles ,218515 ,368 ,168.4 ,1 ,0.5 ,97 ,44.4 ,97 ,44.4 ,O O 4 7 ,9 ,6 5 ,4 O 3 ,32 ,62 89 ,75 ,66 6 
Lota ,45750 ,80 ,174.9 ,O ,0.0 ,21 ,45.9 ,21 ,45.9 ,O O 0 1 ,O ,O O ,O O 1 ,16 ,9 14 ,21 ,16 2 
Mulchen ,31041 ,27 ,87.0 ,0 ,0.0 ,6 ,19.3 ,6 ,19.3 ,O O O 1 ,4 ,0 O ,O O 2 ,3 ,1 1 ,11 ,2 2 
