,,,,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Task de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE SE ,SE ,SE SE ,SE ,SE ,SE SE ,SE SE ,SE ,SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 12 ,13 ,14 15 ,16 ,17 ,18 19 ,20 21 ,22 ,23 
Angol ,56058 ,226 ,403.2 ,4 ,7.1 ,59 ,105.2 ,57 ,101.7 ,0 1 1 3 ,10 ,11 15 ,35 ,27 ,11 10 ,7 24 ,18 ,40 
Carahue& ,25486 ,68 ,266.8 ,0 ,0.0 ,5 ,19.6 ,5 ,19.6 ,0 0 O 0 ,3 ,10 9 ,8 ,5 ,1 0 ,2 14 ,11 ,5 
Cholcho ,12341 ,24 ,194.5 ,O ,0.0 ,10 ,81.0 ,10 ,81.0 ,0 O O 1 ,2 ,0 0 ,1 ,O ,O 1 ,O 1 ,12 ,4 
Collipulli ,26148 ,38 ,145.3 ,2 ,7.6 ,7 ,26.8 ,7 ,26.8 ,0 0 O O ,O ,1 1 ,1 ,3 ,O 2 ,9 8 ,6 ,6 
Cunco ,18055 ,45 ,249.2 ,1 ,5.5 ,15 ,83.1 ,14 ,77.5 ,0 0 O 0 ,3 ,2 O ,1 ,O ,O 1 ,5 18 ,0 ,11 
Curacautin ,18178 ,10 ,55.0 ,O ,0.0 ,2 ,11.0 ,2 ,11.0 ,0 O O 2 ,O ,2 0 ,0 ,2 ,O 1 ,O 0 ,2 ,O 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,2 ,O 0 ,0 ,O ,O 0 ,O 0 ,0 ,O 
Ercilla ,8458 ,16 ,189.2 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O ,O ,4 1 ,4 ,1 ,1 O ,0 4 ,1 ,O 
Freire ,25446 ,90 ,353.7 ,1 ,3.9 ,23 ,90.4 ,23 ,90.4 ,0 0 O 2 ,4 ,O O ,2 ,O ,O 11 ,11 28 ,14 ,16 
Galvarino& ,12633 ,87 ,688.7 ,0 ,0.0 ,50 ,395.8 ,50 ,395.8 ,0 0 O 0 ,0 ,2 0 ,0 ,0 ,1 0 ,O 6 ,43 ,34 
Gorbea ,15148 ,30 ,198.0 ,1 ,6.6 ,9 ,59.4 ,9 ,59.4 ,0 0 1 4 ,4 ,1 O ,1 ,0 ,1 3 ,0 5 ,4 ,5 
Lautaro& ,40746 ,99 ,243.0 ,O ,0.0 ,14 ,34.4 ,14 ,34.4 ,1 0 O 6 ,3 ,15 5 ,6 ,2 ,8 9 ,3 13 ,20 ,6 
Loncoche ,24739 ,49 ,198.1 ,O ,0.0 ,4 ,16.2 ,4 ,16.2 ,0 0 O 2 ,3 ,2 4 ,3 ,3 ,1 2 ,2 6 ,19 ,1 
Lonquimay8 ,11049 ,66 ,597.3 ,1 ,9.1 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,0 ,0 O ,O ,2 ,13 12 ,26 12 ,1 ,O 
Los Sauces& ,7517 ,7 ,93.1 ,O ,0.0 ,3 ,39.9 ,3 ,39.9 ,0 0 O O ,0 ,0 O ,1 ,O ,O 0 ,O 1 ,3 ,2 
Lumaco ,10050 ,14 ,139.3 ,O ,0.0 ,1 ,10.0 ,1 ,10.0 ,0 0 O 0 ,0 ,O O ,4 ,2 ,1 0 ,1 3 ,2 ,1 
Melipeuco ,6265 ,8 ,127.7 ,0 ,0.0 ,2 ,31.9 ,2 ,31.9 ,0 0 O 0 ,0 ,O O ,0 ,O ,O 0 ,O 5 ,2 ,1 
