NuevaImperial,33777,80,236.8,1,3.0,25,74.0,25,74.0,O0O4,10,4127,3,26,5,2320
Padre Las Casas ,82110 ,166 ,202.2 ,4 ,4.9 ,4 ,4.9 ,4 ,4.9 ,0 0 O 12 ,28 ,24 16 15 ,11 ,O 5 ,24 ,16 13 1 
Perquenco ,7223 ,15 ,207.7 ,0 ,0.0 ,8 ,110.8 ,8 ,110.8 ,0 0 0 1 ,1 ,0 O 3 ,O ,O 1 ,0 ,0 2 7 
Pitrufquen ,26096 ,68 ,260.6 ,0 ,0.0 ,16 ,61.3 ,16 ,61.3 ,0 0 O 4 ,9 ,4 O 1 ,O ,O 0 ,6 ,15 19 10 
Pucon ,29782 ,55 ,184.7 ,0 ,0.0 ,13 ,43.7 ,13 ,43.7 ,0 O 1 3 ,0 ,4 3 1 ,3 ,0 3 ,2 ,12 16 7 
Puren ,12188 ,9 ,73.8 ,1 ,8.2 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,2 ,0 O 2 ,0 ,2 1 ,0 ,1 1 O 
Renaico ,10833 ,26 ,240.0 ,1 ,9.2 ,1 ,9.2 ,1 ,9.2 ,0 0 O 0 ,O ,1 3 2 ,1 ,4 3 ,5 ,4 2 1 
Saavedra ,12793 ,92 ,719.1 ,0 ,0.0 ,5 ,39.1 ,5 ,39.1 ,0 O 1 1 ,O ,1 5 8 ,17 ,13 18 ,10 ,9 4 5 
Temuco8 ,302931 ,857 ,282.9 ,19 ,6.3 ,21 ,6.9 ,21 ,6.9 ,0 4 26 155 ,172 ,129 110 57 ,25 ,27 49 ,43 ,27 16 14 
Teodoro Schmidt ,15786 ,10 ,63.3 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O 1 ,2 ,O 1 1 ,O ,O 0 ,1 ,3 1 O 
Tolten ,10055 ,16 ,159.1 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 4 ,2 ,2 O 0 ,O ,O 0 ,2 ,5 1 O 
Traiguen ,19314 ,22 ,113.9 ,O ,0.0 ,9 ,46.6 ,9 ,46.6 ,0 O O O ,O ,1 O 1 ,O ,O 1 ,4 ,4 5 4 
Victoria8 ,35467 ,134 ,377.8 ,3 ,8.5 ,23 ,64.8 ,23 ,64.8 ,0 0 1 2 ,9 ,2 2 30 ,20 ,11 2 ,4 ,17 12 19 
Vilcun ,30766 ,100 ,325.0 ,O ,0.0 ,8 ,26.0 ,8 ,26.0 ,0 0 O 6 ,11 ,15 8 3 ,5 ,4 5 ,7 ,21 9 6 
Villarrica ,59103 ,41 ,69.4 ,0 ,0.0 ,7 ,11.8 ,7 ,11.8 ,0 0 O 2 ,10 ,6 1 0 ,1 ,0 1 ,2 ,4 7 5 
Total ,1014343 ,2572 ,253.6 ,39 ,3.8 ,344 ,33.9 ,341 ,33.6 ,1 5 32 216 ,290 ,243 196 198 ,133 ,101 147 ,181 ,288 269 231 
