,,,,,,,,,,,,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE SE 16 17 18 ,SE SE 19 20 ,SE 21 ,SE SE SE 22 23 24 
Ancud ,42458 ,87 ,204.9 ,0 ,0.0 ,3 ,7.1 ,3 ,7.1 ,0 0 0 O ,1 ,0 6 ,3 1 21 ,19 23 ,10 ,0 3 O 
Calbuco ,36744 ,9 ,24.5 ,0 ,0.0 ,1 ,2.7 ,1 ,2.7 ,O O O 3 ,1 ,1 1 ,1 O 0 ,1 O ,O ,1 0 0 
Castro ,47607 ,9 ,18.9 ,0 ,0.0 ,1 ,2.1 ,1 ,2.1 ,0 O O 2 ,0 ,5 O ,0 0 O ,1 O ,0 ,O 0 1 
Chaiten ,5020 ,1 ,19.9 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 0 ,1 ,O O ,0 0 0 ,0 O ,0 ,O 0 O 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,0 ,O O ,0 0 0 ,O O ,O ,O 0 O 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O O ,0 ,O 1 ,0 0 0 ,0 O ,0 ,O 0 0 
Curaco de Velez ,4066 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O ,0 ,O O ,0 0 0 ,0 O ,0 ,O 0 0 
Dalcahue ,15069 ,6 ,39.8 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O ,O O ,O 0 0 ,1 3 ,2 ,O 0 O 
Fresia ,12656 ,1 ,7.9 ,0 ,0.0 ,1 ,7.9 ,1 ,7.9 ,O O O O ,O ,O O ,0 O 0 ,O O ,0 ,O O 1 
Frutillar ,20223 ,13 ,64.3 ,0 ,0.0 ,1 ,4.9 ,1 ,4.9 ,0 O O O ,1 ,3 2 ,0 0 0 ,1 O ,3 ,2 1 O 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O 0 0 ,O 1 ,O ,O O O 
Hualaihue ,9525 ,4 ,42.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,3 ,O O ,O O O ,O O ,O ,1 O O 
Llanquihue ,18621 ,8 ,43.0 ,0 ,0.0 ,2 ,10.7 ,2 ,10.7 ,O O 0 O ,1 ,O O ,O O O ,5 O ,0 ,1 1 O 
LOs Muermos ,17817 ,3 ,16.8 ,0 ,0.0 ,1 ,5.6 ,1 ,5.6 ,0 O 0 1 ,0 ,O 0 ,0 0 0 ,1 O ,0 ,0 0 1 
Maullin ,14894 ,15 ,100.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O ,O 1 ,O O O ,O 5 ,9 ,0 O O 
Osorno& ,173410 ,414 ,238.7 ,10 ,5.8 ,30 ,17.3 ,30 ,17.3 ,O O 3 58 ,104 ,65 36 ,18 15 19 ,14 9 ,19 ,31 20 3 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 O ,0 ,O O ,0 O O ,0 O ,0 ,O O O 
