LoBarnechea&,124076,520,419.1,203,163.6,201,162.0,0214,5228,16,3434,63,116135,26
Lo Espejo& ,103865 ,423 ,407.3 ,235 ,226.3 ,235 ,226.3 ,0 0 1 ,4 7 ,22 ,26 21 ,53 ,104 162 ,23 
Lo Prado& ,104403 ,390 ,373.6 ,130 ,124.5 ,130 ,124.5 ,0 1 2 ,5 19 ,12 ,20 29 ,94 ,112 79 ,17 
Macul& ,134635 ,524 ,389.2 ,258 ,191.6 ,255 ,189.4 ,0 1 3 ,15 21 ,17 ,12 18 ,71 ,150 199 ,17 
Maipu& ,578605 ,1212 ,209.5 ,529 ,91.4 ,529 ,91.4 ,0 0 13 ,46 67 ,74 ,75 111 ,126 ,257 375 ,68 
Maria Pinto ,14926 ,3 ,20.1 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 O ,0 ,1 0 ,2 ,0 0 ,0 
Melipilla ,141612 ,168 ,118.6 ,48 ,33.9 ,48 ,33.9 ,0 1 1 ,4 5 ,5 ,8 21 ,30 ,55 37 ,1 
Nunoa& ,250192 ,692 ,276.6 ,284 ,113.5 ,283 ,113.1 ,1 1 26 ,52 37 ,46 ,45 63 ,62 ,117 206 ,36 
Padre Hurtado ,74188 ,125 ,168.5 ,43 ,58.0 ,43 ,58.0 ,0 1 0 ,5 9 ,5 ,11 7 ,15 ,39 25 ,8 
Paine ,82766 ,108 ,130.5 ,72 ,87.0 ,72 ,87.0 ,0 1 1 ,2 0 ,4 ,4 3 ,5 ,24 53 ,11 
Pedro Aguirre Cerda& ,107803 ,525 ,487.0 ,251 ,232.8 ,249 ,231.0 ,0 0 3 ,4 14 ,23 ,43 32 ,70 ,135 185 ,16 
Penaflor ,101058 ,130 ,128.6 ,42 ,41.6 ,42 ,41.6 ,0 1 4 ,3 9 ,5 ,7 14 ,24 ,30 26 ,7 
Penalolen& ,266798 ,1157 ,433.7 ,639 ,239.5 ,638 ,239.1 ,0 3 9 ,25 33 ,37 ,50 62 ,113 ,316 447 ,62 
Pirque ,30433 ,92 ,302.3 ,38 ,124.9 ,38 ,124.9 ,0 0 3 ,1 3 ,1 ,5 3 ,15 ,27 29 ,5 
Providencia8 ,157749 ,472 ,299.2 ,192 ,121.7 ,191 ,121.1 ,0 3 29 ,62 20 ,21 ,30 31 ,32 ,85 140 ,19 
Pudahuel ,253139 ,622 ,245.7 ,236 ,93.2 ,234 ,92.4 ,1 1 2 ,19 23 ,30 ,35 38 ,119 ,181 157 ,16 
Puente Alto& ,645909 ,2165 ,335.2 ,803 ,124.3 ,802 ,124.2 ,1 2 7 ,55 95 ,157 ,177 246 ,254 ,579 551 ,41 
Quilicura ,254694 ,1080 ,424.0 ,334 ,131.1 ,332 ,130.4 ,0 4 3 ,20 24 ,42 ,40 126 ,253 ,351 192 ,25 
Quinta Normal& ,136368 ,560 ,410.7 ,181 ,132.7 ,181 ,132.7 ,0 2 4 ,13 24 ,35 ,47 44 ,90 ,173 109 ,19 
Recoleta& ,190075 ,1330 ,699.7 ,534 ,280.9 ,534 ,280.9 ,0 O 5 ,15 18 ,31 ,46 99 ,255 ,453 358 ,50 
Renca& ,160847 ,510 ,317.1 ,174 ,108.2 ,173 ,107.6 ,0 0 4 ,7 11 ,7 ,30 60 ,99 ,171 107 ,14 
San Bernardo8 ,334836 ,1018 ,304.0 ,400 ,119.5 ,399 ,119.2 ,0 2 6 ,20 36 ,65 ,71 118 ,139 ,254 281 ,26 
San Joaquin& ,103485 ,727 ,702.5 ,411 ,397.2 ,409 ,395.2 ,0 0 1 ,14 22 ,14 ,36 38 ,74 ,194 291 ,43 
San Jose de Maipo& ,18644 ,61 ,327.2 ,35 ,187.7 ,35 ,187.7 ,0 0 1 ,1 1 ,2 ,2 1 ,4 ,18 29 ,2 
San Miguel& ,133059 ,563 ,423.1 ,252 ,189.4 ,250 ,187.9 ,0 0 3 ,24 21 ,25 ,43 42 ,68 ,132 172 ,33 
San Pedro ,11953 ,17 ,142.2 ,2 ,16.7 ,2 ,16.7 ,0 0 0 ,0 O ,0 ,0 2 ,9 ,5 1 ,0 
San Ramon& ,86510 ,638 ,737.5 ,356 ,411.5 ,354 ,409.2 ,0 0 1 ,4 11 ,9 ,11 40 ,86 ,185 266 ,25 
Santiago8 ,503147 ,2627 ,522.1 ,1117 ,222.0 ,1116 ,221.8 ,1 2 27 ,94 95 ,133 ,154 164 ,339 ,730 801 ,87 
