Peralillo,11848,O,0.0,O,0.0,O,0.0,OOOOO0OO0O,OO
Peumo ,14952 ,4 ,26.8 ,1 ,6.7 ,1 ,6.7 ,O O O O 1 O O O O 2 ,1 O 
Pichidegua ,20743 ,2 ,9.6 ,2 ,9.6 ,2 ,9.6 ,O O O O O O O O 0 1 ,1 0 
Pichilemu ,17882 ,1 ,5.6 ,1 ,5.6 ,1 ,5.6 ,O O O O O O O O O 1 ,O O 
Placilla ,9164 ,2 ,21.8 ,1 ,10.9 ,1 ,10.9 ,O O O O 1 O O O O O ,O 1 
Pumanque ,3531 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O O O O ,O 0 
Quinta de Tilcoco ,13877 ,1 ,7.2 ,0 ,0.0 ,0 ,0.0 ,0 0 O 1 O O O O 0 O ,0 0 
Rancagua& ,265211 ,128 ,48.3 ,74 ,27.9 ,74 ,27.9 ,0 0 O 8 4 6 3 7 9 24 ,54 13 
Rengo& ,63710 ,14 ,22.0 ,4 ,6.3 ,4 ,6.3 ,O O O 1 1 O O 2 5 1 ,4 0 
Requinoa ,30371 ,8 ,26.3 ,4 ,13.2 ,4 ,13.2 ,O O O 2 O O O O 2 O ,3 1 
San Fernando& ,78642 ,10 ,12.7 ,4 ,5.1 ,4 ,5.1 ,O O O 2 1 1 O O O 2 ,3 1 
San Vicente ,50617 ,20 ,39.5 ,11 ,21.7 ,11 ,21.7 ,O 0 O O 3 1 O O 3 2 ,10 1 
Santa Cruz& ,41096 ,5 ,12.2 ,2 ,4.9 ,2 ,4.9 ,0 O O O 1 0 O 1 1 O ,1 1 
Total ,991063 ,324 ,32.7 ,173 ,17.5 ,172 ,17.4 ,0 0 1 20 15 10 10 15 42 56 ,129 26 
