Romeral,16170,13,80.4,O,0.0,O,0.0,OOO,120O
Sagrada Familia ,19469 ,2 ,10.3 ,0 ,0.0 ,O ,0.0 ,O O O ,O O 1 O 
San Clemente ,46292 ,23 ,49.7 ,11 ,23.8 ,11 ,23.8 ,O O O ,O O 1 2 
San Javier ,49451 ,34 ,68.8 ,9 ,18.2 ,9 ,18.2 ,O O O ,O 2 7 4 
San Rafael ,9959 ,6 ,60.2 ,3 ,30.1 ,3 ,30.1 ,O O O ,O 1 O 1 
Talca ,236724 ,191 ,80.7 ,28 ,11.8 ,28 ,11.8 ,O 3 9 ,13 19 11 16 
Teno ,30850 ,8 ,25.9 ,2 ,6.5 ,2 ,6.5 ,0 0 O ,O O O 1 
Vichuquen ,4381 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O ,O O O O 
Villa Alegre ,17512 ,3 ,17.1 ,1 ,5.7 ,1 ,5.7 ,O O O ,O O O 1 
Yerbas Buenas ,19200 ,5 ,26.0 ,3 ,15.6 ,3 ,15.6 ,O O O ,O O O 1 
Total ,1131939 ,557 ,49.2 ,127 ,11.2 ,127 ,11.2 ,1 4 11 ,26 51 48 66 
