Quilaco,4179,O,0.0,O,0.0,O,0.0,OOO0,OO,OO0OOO
Quilleco ,10032 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O O 0 O 
San Pedro de la Paz ,145906 ,117 ,80.2 ,12 ,8.2 ,12 ,8.2 ,O O 6 34 ,17 24 ,8 11 3 2 11 1 
San Rosendo ,3611 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O 0 O O 
Santa Barbara ,14592 ,7 ,48.0 ,5 ,34.3 ,5 ,34.3 ,O O O O ,2 O ,O O O O 2 3 
Santa Juana ,14779 ,2 ,13.5 ,0 ,0.0 ,0 ,0.0 ,O O O O ,0 1 ,O O 1 O O 0 
Talcahuano ,158345 ,136 ,85.9 ,23 ,14.5 ,23 ,14.5 ,0 0 1 16 ,16 17 ,14 14 20 17 17 4 
Tirua ,11019 ,4 ,36.3 ,O ,0.0 ,O ,0.0 ,0 0 0 1 ,2 1 ,O O O O 0 0 
Tome ,58729 ,67 ,114.1 ,17 ,28.9 ,17 ,28.9 ,0 O O 9 ,11 12 ,7 9 1 4 12 2 
Tucapel ,15205 ,1 ,6.6 ,O ,0.0 ,O ,0.0 ,O O O O ,O 1 ,O O O O O O 
Yumbel ,22132 ,14 ,63.3 ,4 ,18.1 ,4 ,18.1 ,0 O O O ,5 O ,1 1 1 2 4 O 
Total ,1663696 ,1034 ,62.2 ,244 ,14.7 ,244 ,14.7 ,1 2 28 138 ,157 148 ,99 99 63 77 170 52 
