,,,,,,Numero,deCasos,segunFechade,Inicio,deSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE SE 13 14 ,SE 15 ,SE SE 16 17 ,SE SE SE 18 19 20 
Angol8 ,56058 ,122 ,217.6 ,12 ,21.4 ,12 ,21.4 ,O 1 1 ,3 ,10 11 ,15 ,35 26 ,11 7 2 
Carahue& ,25486 ,35 ,137.3 ,1 ,3.9 ,1 ,3.9 ,0 O O ,O ,3 10 ,9 ,7 5 ,1 O O 
Cholchol ,12341 ,5 ,40.5 ,1 ,8.1 ,1 ,8.1 ,0 0 O ,1 ,2 0 ,O ,1 O ,O 1 O 
Collipulli ,26148 ,6 ,22.9 ,0 ,0.0 ,O ,0.0 ,O O O ,O ,O 1 ,1 ,1 3 ,O 0 0 
Cunco ,18055 ,6 ,33.2 ,1 ,5.5 ,1 ,5.5 ,O 0 O ,O ,3 2 ,O ,O O ,O 1 O 
Curacautin ,18178 ,7 ,38.5 ,1 ,5.5 ,1 ,5.5 ,O O O ,2 ,O 2 ,O ,O 2 ,O 1 O 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,0 O 1 ,1 ,2 O ,O ,O 0 ,O O O 
Ercilla ,8458 ,11 ,130.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,O ,O 4 ,1 ,4 1 ,1 0 0 
Freire& ,25446 ,19 ,74.7 ,11 ,43.2 ,11 ,43.2 ,0 0 0 ,2 ,4 O ,0 ,2 O ,O 9 2 
Galvarino& ,12633 ,4 ,31.7 ,2 ,15.8 ,2 ,15.8 ,0 O O ,O ,1 1 ,O ,O O ,1 O 1 
Gorbea ,15148 ,14 ,92.4 ,2 ,13.2 ,2 ,13.2 ,O O 1 ,4 ,4 1 ,O ,2 O ,O 2 O 
Lautaro ,40746 ,55 ,135.0 ,14 ,34.4 ,14 ,34.4 ,1 O O ,6 ,3 14 ,6 ,6 2 ,7 8 2 
Loncoche ,24739 ,20 ,80.8 ,2 ,8.1 ,2 ,8.1 ,O 0 O ,2 ,3 2 ,4 ,3 3 ,1 2 O 
Lonquimay ,11049 ,18 ,162.9 ,14 ,126.7 ,13 ,117.7 ,0 0 0 ,O ,O 0 ,0 ,O 2 ,7 3 6 
Los Sauces ,7517 ,1 ,13.3 ,O ,0.0 ,0 ,0.0 ,0 0 0 ,0 ,O O ,0 ,1 O ,O 0 0 
Lumaco ,10050 ,7 ,69.7 ,O ,0.0 ,0 ,0.0 ,0 0 O ,O ,O 0 ,O ,4 2 ,1 O O 
Melipeuco ,6265 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O ,O O ,O ,O 0 ,O O O 
Nueva Imperial& ,33777 ,52 ,154.0 ,11 ,32.6 ,11 ,32.6 ,O O O ,5 ,9 4 ,12 ,7 3 ,2 6 4 
Padre Las Casas& ,82110 ,115 ,140.1 ,9 ,11.0 ,9 ,11.0 ,O O O ,11 ,28 24 ,17 ,15 11 ,O 4 5 
Perquenco ,7223 ,5 ,69.2 ,0 ,0.0 ,0 ,0.0 ,0 0 O ,1 ,1 O ,0 ,3 0 ,O O 0 
Pitrufquen ,26096 ,18 ,69.0 ,O ,0.0 ,O ,0.0 ,0 0 O ,4 ,8 4 ,O ,2 O ,O O 0 
Pucon ,29782 ,17 ,57.1 ,2 ,6.7 ,2 ,6.7 ,O 0 1 ,3 ,O 4 ,3 ,1 3 ,O 2 O 
