,,NumerodeCasossegunFechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 
SEREMI De Arica y Parinacota ,O ,0 0 0 O 0 0 O 0 0 O 0 
SEREMI De Tarapaca ,O ,0 O O O 0 O 0 0 0 O O 
SEREMI De Antofagasta ,0 ,O O O 0 O 0 O 0 0 O O 
SEREMI De Atacama ,O ,O O O O 0 O O O O O O 
SEREMI De Coquimbo ,O ,O O 0 O O O O O O O O 
SEREMI De Valparaiso ,1 ,0 O 0 0 1 0 O 0 0 0 0 
SEREMI Metropolitana de Santiago ,3 ,O O O O 0 O O 1 1 1 O 
SEREMI Del Libertador Gral B OHiggins ,0 ,0 O O O O 0 O 0 0 0 O 
SEREMI Del Maule ,O ,O O O O 0 O O 0 0 O O 
SEREMI Del Nuble ,0 ,0 O O O 0 O O 0 O O O 
SEREMI Del Biobio ,0 ,0 O O O 0 0 O 0 O O O 
SEREMI De La Araucania ,0 ,0 O 0 O 0 0 O 0 0 O 0 
SEREMI De Los Rios ,0 ,0 O O O O O O 0 0 O O 
SEREMI De Los Lagos ,21 ,0 O 9 10 1 1 O 0 0 O 0 
SEREMI De Aisen del General Carlos ibanez del Campo ,1 ,O O 1 O 0 O O 0 O O O 
SEREMI De Magallanes y la Antartica Chilena ,0 ,0 O O O 0 O O 0 0 O O 
Total pais ,26 ,0 0 10 10 2 1 0 1 1 1 0 
