,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,468 ,2.2 ,77.2 ,440 ,2.4 ,75.4 ,908 ,2.3 ,76.3 
05 09 anos ,347 ,1.7 ,53.2 ,333 ,1.8 ,52.9 ,680 ,1.7 ,53.0 
10 14 anos ,412 ,2.0 ,64.0 ,403 ,2.2 ,64.9 ,815 ,2.1 ,64.4 
15 19 anos ,626 ,3.0 ,97.7 ,659 ,3.6 ,106.4 ,1285 ,3.3 ,102.0 
20 24 anos ,1583 ,7.5 ,216.0 ,1483 ,8.0 ,208.8 ,3066 ,7.8 ,212.4 
25 29 anos ,2692 ,12.8 ,321.5 ,2503 ,13.5 ,308.3 ,5195 ,13.1 ,315.0 
30 34 anos ,2820 ,13.4 ,348.0 ,2328 ,12.6 ,296.2 ,5148 ,13.0 ,322.5 
35 39 anos ,2325 ,11.1 ,320.5 ,1884 ,10.2 ,265.4 ,4209 ,10.7 ,293.3 
40 44 anos ,1947 ,9.3 ,288.3 ,1597 ,8.6 ,237.7 ,3544 ,9.0 ,263.1 
45 49 anos ,1791 ,8.5 ,283.8 ,1486 ,8.0 ,232.1 ,3277 ,8.3 ,257.7 
50 54 anos ,1638 ,7.8 ,272.5 ,1340 ,7.2 ,215.0 ,2978 ,7.5 ,243.2 
55 59 anos ,1460 ,6.9 ,263.1 ,1236 ,6.7 ,209.3 ,2696 ,6.8 ,235.4 
60 64 anos ,1090 ,5.2 ,231.4 ,867 ,4.7 ,167.3 ,1957 ,5.0 ,197.8 
65 69 anos ,663 ,3.2 ,175.0 ,570 ,3.1 ,130.8 ,1233 ,3.1 ,151.4 
70 74 anos ,445 ,2.1 ,168.5 ,446 ,2.4 ,139.7 ,891 ,2.3 ,152.7 
75 79 anos ,321 ,1.5 ,182.0 ,329 ,1.8 ,138.6 ,650 ,1.6 ,157.1 
80 y mas anos ,382 ,1.8 ,194.4 ,597 ,3.2 ,170.4 ,979 ,2.5 ,179.0 
,,,,,,,,,
,,,,,,,,,
