,,,,,,,,,Numerode,CasossegunFecha,deInicio,deSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE 15 16 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 ,SE 23 ,SE SE 24 25 
Algarrobo ,15174 ,72 ,474.5 ,5 ,33.0 ,18 ,118.6 ,18 ,118.6 ,O O 1 4 ,4 0 ,O O 2 ,4 6 ,13 ,10 8 ,14 ,6 0 
Cabildo& ,20663 ,42 ,203.3 ,0 ,0.0 ,5 ,24.2 ,4 ,19.4 ,0 0 0 O ,0 0 ,0 0 5 ,3 3 ,6 ,6 12 ,5 ,2 0 
Calera& ,53591 ,141 ,263.1 ,0 ,0.0 ,43 ,80.2 ,42 ,78.4 ,O O 0 1 ,6 2 ,4 7 2 ,2 7 ,17 ,20 21 ,39 ,13 0 
Calle Larga8 ,16482 ,99 ,600.7 ,O ,0.0 ,20 ,121.3 ,20 ,121.3 ,1 0 0 O ,0 2 ,3 1 0 ,4 3 ,8 ,28 25 ,23 ,1 O 
Cartagena ,25357 ,68 ,268.2 ,2 ,7.9 ,9 ,35.5 ,9 ,35.5 ,O O 0 O ,O 2 ,0 1 5 ,5 12 ,7 ,15 11 ,8 ,2 0 
Casablanca& ,29170 ,63 ,216.0 ,0 ,0.0 ,20 ,68.6 ,20 ,68.6 ,O O 0 2 ,0 1 ,1 0 0 ,O 9 ,9 ,8 10 ,17 ,6 0 
Catemu ,15213 ,44 ,289.2 ,O ,0.0 ,17 ,111.7 ,17 ,111.7 ,0 0 0 O ,O O ,0 0 0 ,1 1 ,7 ,3 13 ,14 ,5 0 
Con Con& ,45889 ,120 ,261.5 ,2 ,4.4 ,33 ,71.9 ,33 ,71.9 ,0 0 0 2 ,6 1 ,1 0 9 ,6 9 ,16 ,17 17 ,24 ,12 0 
EI Quisco& ,17742 ,82 ,462.2 ,2 ,11.3 ,12 ,67.6 ,12 ,67.6 ,O O 0 1 ,0 4 ,2 4 0 ,5 9 ,14 ,13 16 ,13 ,1 0 
EI Tabo ,14338 ,72 ,502.2 ,3 ,20.9 ,1 ,7.0 ,1 ,7.0 ,0 O 0 O ,5 0 ,2 3 3 ,4 7 ,6 ,15 19 ,8 ,0 O 
Hijuelas ,19099 ,45 ,235.6 ,1 ,5.2 ,11 ,57.6 ,11 ,57.6 ,O 0 0 0 ,0 0 ,1 0 0 ,O 0 ,7 ,10 15 ,8 ,4 0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 2 ,1 2 ,O 0 0 ,O 0 ,0 ,0 0 ,0 ,0 O 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 0 ,0 0 O ,O 0 ,0 ,0 0 ,0 ,0 0 
La Cruz& ,25321 ,57 ,225.1 ,1 ,3.9 ,11 ,43.4 ,11 ,43.4 ,O 1 0 1 ,2 3 ,1 0 1 ,8 6 ,3 ,5 11 ,15 ,0 0 
La Ligua& ,37739 ,68 ,180.2 ,2 ,5.3 ,19 ,50.3 ,19 ,50.3 ,0 0 0 1 ,0 1 ,0 0 0 ,1 1 ,9 ,11 24 ,15 ,5 0 
Limache& ,49931 ,205 ,410.6 ,4 ,8.0 ,61 ,122.2 ,61 ,122.2 ,0 0 0 2 ,0 5 ,9 6 1 ,7 23 ,31 ,22 34 ,48 ,17 0 
Llaillay& ,26533 ,114 ,429.7 ,3 ,11.3 ,31 ,116.8 ,30 ,113.1 ,O 0 0 1 ,1 0 ,0 0 1 ,2 5 ,28 ,23 20 ,25 ,8 0 
Los Andes& ,68093 ,370 ,543.4 ,6 ,8.8 ,117 ,171.8 ,113 ,165.9 ,O 0 0 2 ,2 0 ,3 0 2 ,9 19 ,55 ,77 79 ,108 ,14 0 
Nogales ,23490 ,34 ,144.7 ,0 ,0.0 ,9 ,38.3 ,9 ,38.3 ,0 0 0 0 ,0 0 ,0 0 0 ,2 4 ,6 ,6 6 ,8 ,2 0 
