,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,,,,,,,,,,,
,,Numero de ,Tasa ,Numero ,,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Tasa de Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 ,14 ,15 16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 25 
Alhue& ,7405 ,22 ,297.1 ,O ,0.0 ,2 ,27.0 ,2 ,27.0 ,0 0 0 ,0 0 ,0 ,0 0 ,0 ,O ,4 ,1 ,4 ,8 ,4 ,1 0 
Buin& ,109641 ,1044 ,952.2 ,26 ,23.7 ,184 ,167.8 ,182 ,166.0 ,0 0 0 ,5 17 ,10 ,14 17 ,18 ,60 ,130 ,182 ,214 ,163 ,177 ,37 0 
Calera de Tango& ,28525 ,200 ,701.1 ,0 ,0.0 ,43 ,150.7 ,42 ,147.2 ,0 0 0 ,4 4 ,1 ,1 5 ,1 ,6 ,18 ,29 ,31 ,53 ,42 ,5 0 
Cerrillos& ,88956 ,1545 ,1736.8 ,24 ,27.0 ,212 ,238.3 ,211 ,237.2 ,1 1 1 ,5 10 ,14 ,20 21 ,63 ,217 ,198 ,266 ,297 ,206 ,180 ,45 0 
Cerro Navia& ,142465 ,3075 ,2158.4 ,95 ,66.7 ,328 ,230.2 ,322 ,226.0 ,0 0 10 ,13 13 ,13 ,37 45 ,92 ,246 ,515 ,597 ,589 ,511 ,331 ,63 0 
Colina& ,180353 ,2521 ,1397.8 ,37 ,20.5 ,415 ,230.1 ,413 ,229.0 ,1 4 6 ,28 16 ,19 ,16 20 ,33 ,125 ,331 ,470 ,517 ,474 ,369 ,92 0 
Conchalis ,139195 ,3244 ,2330.5 ,77 ,55.3 ,348 ,250.0 ,344 ,247.1 ,0 1 1 ,16 12 ,18 ,35 69 ,127 ,350 ,555 ,626 ,555 ,474 ,327 ,78 0 
Curacavi ,36430 ,477 ,1309.4 ,4 ,11.0 ,103 ,282.7 ,103 ,282.7 ,1 0 1 ,2 4 ,4 ,4 0 ,4 ,18 ,40 ,67 ,93 ,125 ,86 ,28 0 
EI Bosque& ,172000 ,3176 ,1846.5 ,60 ,34.9 ,595 ,345.9 ,592 ,344.2 ,0 1 2 ,14 21 ,29 ,49 44 ,82 ,212 ,383 ,529 ,507 ,634 ,544 ,125 0 
EI Monte& ,40014 ,412 ,1029.6 ,6 ,15.0 ,44 ,110.0 ,44 ,110.0 ,0 0 1 ,1 1 ,7 ,4 2 ,8 ,15 ,38 ,66 ,127 ,75 ,52 ,15 0 
Estacion Central& ,206792 ,3650 ,1765.1 ,46 ,22.2 ,440 ,212.8 ,436 ,210.8 ,0 2 3 ,12 27 ,33 ,40 76 ,164 ,353 ,539 ,632 ,619 ,617 ,458 ,75 0 
Huechuraba ,112528 ,1983 ,1762.2 ,63 ,56.0 ,206 ,183.1 ,204 ,181.3 ,0 0 5 ,18 9 ,16 ,17 31 ,54 ,188 ,337 ,452 ,347 ,267 ,205 ,37 0 
Independencia& ,142065 ,4300 ,3026.8 ,123 ,86.6 ,385 ,271.0 ,380 ,267.5 ,0 1 5 ,15 9 ,24 ,43 143 ,296 ,528 ,719 ,716 ,714 ,630 ,384 ,73 0 
